"title","details","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions"
"title","details","us","us ind","us rock","bel","bel","fra","jpn","swi","uk","uk rock"
"sevas tra","released: june 18, 2002 label: capitol formats: cd, digital download","145","-","-","-","-","-","-","-","86","10"
"house of secrets","released: july 27, 2004 label: capitol formats: cd, digital download","93","-","-","-","-","102","-","-","-","-"
"the ascension","released: october 30, 2007 label: capitol, koch formats: cd, lp, digital download","81","6","25","-","-","-","197","-","-","-"
"smash the control machine","released: august 18, 2009 label: victory formats: cd, digital download","47","6","13","-","-","-","-","-","-","-"
"atavist","released: april 26, 2011 label: victory formats: cd, digital download","61","10","19","-","-","-","-","-","-","-"
"hydra","released: january 22, 2013 label: victory formats: cd, digital download","133","22","39","-","-","-","-","-","-","-"
"generation doom","released: april 15, 2016 label: napalm formats: cd, lp, digital download","109","10","13","137","136","-","-","-","-","-"
"kult 45","released: july 27, 2018 label: napalm formats: cd, lp, digital download","-","11","-","-","-","-","-","100","-","-"
""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory"
