"year","team","games","games","receiving","receiving","receiving","receiving","receiving","rushing","rushing","rushing","rushing","rushing","fumbles","fumbles"
"year","team","gp","gs","rec","yds","avg","lng","td","att","yds","avg","lng","td","fum","lost"
"2009","ten","14","0","9","74","8.2","17","0","0","0","0","0.0","0","0","0"
"2010","ten","16","1","29","361","12.4","36","1","0","0","0","0.0","0","0","0"
"2011","ten","16","5","49","759","15.5","80","3","0","0","0","0.0","0","2","2"
"2012","ten","13","5","44","523","11.9","61","4","0","0","0","0.0","0","1","1"
"2013","stl","16","13","51","671","13.2","47","5","0","0","0","0.0","0","1","1"
"2014","stl","16","6","52","634","12.2","59","3","1","0","0","0.0","0","0","0"
"2015","stl","16","12","39","481","12.3","49","0","0","0","0","0.0","0","2","1"
"2016","gb","10","5","30","377","12.6","47","1","0","0","0","0.0","0","1","1"
"2017","oak","16","16","54","688","12.7","35","2","0","0","0","0.0","0","1","1"
"2018","oak","16","14","68","896","13.2","45","6","0","0","0","0.0","0","0","0"
"total","total","149","77","425","5,464","12.9","80","25","1","0","0","0.0","0","8","7"
