"club","season","division","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"sheffield wednesday","1995-96","premier league","5","0","0","0","0","0","0","0","5","0"
"sheffield wednesday","1996-97","premier league","29","3","4","2","2","0","0","0","35","5"
"sheffield wednesday","1997-98","premier league","7","0","3","0","1","0","0","0","11","0"
"sheffield wednesday","1998-99","premier league","19","1","2","2","0","0","0","0","21","3"
"sheffield wednesday","1999-2000","premier league","0","0","0","0","0","0","0","0","0","0"
"sheffield wednesday","2000-01","first division","7","0","0","0","3","0","0","0","10","0"
"sheffield wednesday","total","total","67","4","9","4","6","0","0","0","82","8"
"scunthorpe united","1999-2000","second division","6","2","0","0","0","0","0","0","6","2"
"cardiff city","1999-2000","second division","9","2","1","0","0","0","1","0","11","2"
"hartlepool united","2001-02","third division","46","5","1","0","1","0","3","0","51","5"
"hartlepool united","2002-03","third division","46","11","2","0","1","0","0","0","49","11"
"hartlepool united","2003-04","second division","46","3","3","1","2","0","3","0","54","4"
"hartlepool united","2004-05","league one","46","3","6","0","2","0","6","0","60","3"
"hartlepool united","2005-06","league one","46","2","2","0","2","0","0","0","50","2"
"hartlepool united","2006-07","league two","38","3","3","0","0","0","2","1","43","4"
"hartlepool united","2007-08","league one","45","3","2","0","1","0","2","0","50","3"
"hartlepool united","2008-09","league one","45","0","5","0","3","0","1","0","54","0"
"hartlepool united","2009-10","league one","38","0","1","0","0","0","1","0","40","0"
"hartlepool united","2010-11","league one","25","2","3","1","0","0","1","0","29","3"
"hartlepool united","2011-12","league one","29","1","1","0","0","0","1","0","31","1"
"hartlepool united","2012-13","league one","31","1","1","0","0","0","1","0","33","1"
"hartlepool united","total","total","481","34","30","2","12","0","21","1","544","37"
"cambridge united","2000-01","second division","7","3","0","0","0","0","0","0","7","3"
"port vale","2006-07","league one","7","0","0","0","0","0","0","0","7","0"
"chesterfield","2013-14","league two","42","2","1","0","1","0","5","0","49","2"
"chesterfield","2014-15","league one","19","0","5","0","1","1","0","0","25","1"
"chesterfield","2015-16","league one","3","0","0","0","0","0","0","0","3","0"
"chesterfield","2016-17","league one","2","0","0","0","0","0","2","0","4","0"
"chesterfield","total","total","66","2","6","0","2","1","7","0","81","3"
"sheffield","2017-18","npl division one south","4","0","1","0","0","0","0","0","5","0"
"career total","career total","career total","647","47","47","6","20","1","29","1","743","54"
