"club","season","league","league","league","cup","cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"independiente","1997-98","argentine primera division","5","0","0","0","-","-","0","0","5","0"
"toros neza","2000-01","primera division a","15","1","0","0","-","-","0","0","15","1"
"america de cali","2001","categoria primera a","3","0","0","0","0","0","0","0","3","0"
"argentinos juniors","2001-02","argentine primera division","33","1","0","0","-","-","0","0","33","1"
"nueva chicago","2002-03","argentine primera division","34","1","0","0","-","-","0","0","34","1"
"nueva chicago","2005-06","primera b nacional","9","0","0","0","-","-","0","0","9","0"
"nueva chicago","total","total","43","1","0","0","-","-","0","0","43","1"
"jorge wilstermann","2006","bolivian primera division","8","0","0","0","-","-","0","0","8","0"
"alumni","2007-08","torneo argentino a","22","1","0","0","-","-","0","0","22","1"
"tiro federal","2008-09","torneo argentino b","15","1","0","0","-","-","0","0","15","1"
"career total","career total","career total","144","5","0","0","0","0","0","0","144","5"
