"year","single","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","certifications","album"
"year","single","hlt","lpa","mex","spa","arg","per","col","certifications","album"
"2002","donde iran","-","-","-","-","-","-","-","none","primera toma"
"2002","perdicion","24","6","-","-","-","-","-","none","primera toma"
"2003","no quiero perderte","-","-","-","-","-","-","-","none","primera toma"
"2004","el sol no regresa","37","21","10","19","16","-","-","none","flores de alquiler"
"2005","algo mas","3","2","1","32","10","-","-","none","flores de alquiler"
"2005","daria","13","3","9","15","27","-","-","none","flores de alquiler"
"2006","nina","-","36","19","-","-","-","-","none","flores de alquiler"
"2006","tu peor error","18","17","3","16","16","64","-","none","el mundo se equivoca"
"2006","me muero","10","2","1","1","22","3","3","none","el mundo se equivoca"
"2007","suenos rotos","-","27","6","1","15","-","-","none","el mundo se equivoca"
"2007","ahora que te vas","26","6","-","-","-","60","-","none","el mundo se equivoca"
"2008","la frase tonta de la semana","-","-","73","-","-","-","10","none","el mundo se equivoca"
"2009","que te queria","4","1","1","1","14","-","18","spa: 1× platinum","sin frenos"
"2009",""recuerdame" ft. marc anthony","5","3","28","8","100","-","-","none","sin frenos"
"2009","me dueles","-","-","-","-","-","-","-","none","sin frenos"
