"","voting in federal election","searching for information on a political issue","expressing views on an issue by contacting a newspaper or a politician","expressing views on a political or social issue on an internet forum or news website","signing a petition","boycotting or choosing a product for ethical reasons","attending a public meeting","participating in a demonstration or protest march","wearing a badge or t-shirt, displaying a lawn sign to support or oppose a political or social cause"
"","percentage","percentage","percentage","percentage","percentage","percentage","percentage","percentage","percentage"
"total","","","","","","","","",""
"men","81","44","11","14","27","22","17","5","10"
"women","81","35","9","10","28","23","13","5","11"
"age group","","","","","","","","",""
"15 to 24 years","59","53","5","17","31","19","11","9","14"
"25 to 34 years","70","50","9","16","32","28","12","5","11"
"35 to 44 years","79","42","10","15","30","27","16","5","11"
"45 to 54 years","83","35","11","10","27","23","16","4","10"
"55 to 64 years","89","34","13","9","26","23","18","4","10"
"65 to 74 years","92","29","15","8","22","18","19","2","8"
"75 years and older","92","19","10","3","14","9","14","1","7"
