"club","season","league","league","league","national cup","national cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"fatima","2009-10","segunda liga","24","1","0","0","1","0","-","-","25","1"
"fatima","2010-11","segunda liga","24","1","0","0","4","0","-","-","28","1"
"fatima","total","total","48","2","0","0","5","0","0","0","53","2"
"trofense","2011-12","segunda liga","7","0","0","0","0","0","-","-","7","0"
"sheriff","2011-12","national division","9","0","0","0","-","-","0","0","9","0"
"sheriff","2012-13","national division","1","0","0","0","-","-","4","0","5","0"
"sheriff","total","total","10","0","0","0","-","-","4","0","14","0"
"vejle","2013-14","1. division","23","0","2","0","-","-","25","0","none","none"
"vejle","2014-15","1. division","24","0","0","0","-","-","24","0","none","none"
"vejle","total","total","47","0","2","0","-","-","0","0","49","0"
"sønderjyske","2015-16","superliga","24","1","1","0","-","-","0","0","25","1"
"odense","2016-17","superliga","12","0","0","0","-","-","0","0","12","0"
"odense","2017-18","superliga","7","0","1","0","-","-","0","0","8","0"
"odense","total","total","19","0","1","0","-","-","0","0","20","0"
"career total","career total","career total","155","3","4","0","5","0","4","0","168","3"
