"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"bolton wanderers","2013-14","championship","0","0","0","0","0","0","0","0","0","0"
"bolton wanderers","2014-15","championship","0","0","0","0","0","0","0","0","0","0"
"bolton wanderers","total","total","0","0","0","0","0","0","0","0","0","0"
"hyde united","2014-15","conference north","5","0","0","0","-","-","0","0","5","0"
"stalybridge celtic","2016-17","national league north","6","1","0","0","-","-","0","0","6","1"
"stockport county","2016-17","national league north","33","5","2","2","-","-","2","0","37","7"
"stockport county","2017-18","national league north","41","9","0","0","-","-","7","2","48","11"
"stockport county","total","total","74","14","2","2","0","0","9","2","85","18"
"stevenage","2018-19","league two","18","3","0","0","1","1","2","0","21","4"
"career total","career total","career total","103","18","2","2","1","1","11","2","117","23"
