"","total","total","primary donors","primary donors","other donors","other donors"
"","2004","2013","2004","2013","2004","2013"
"","millions","millions","millions","millions","millions","millions"
"canada","10,392","12,764","6,445","8,390","3,947","4,374"
"newfoundland and labrador","143","132","67","62","77","70"
"prince edward island","49","50","28","30","21","21"
"nova scotia","311","265","175","140","136","124"
"new brunswick","225","181","128","94","97","87"
"quebec","1,070","1,444","394","733","677","711"
"ontario","5,180","5,020","3,370","3,231","1,811","1,789"
"manitoba","410","606","267","412","144","194"
"saskatchewan","329","506","213","323","116","183"
"alberta","1,198","2,391","807","1,799","391","592"
"british columbia","1,475","2,168","997","1,565","479","603"
