"","linked cctlp tumour cohort","tumours with one or more surgical interventions","tumours with one or more surgical interventions"
"","number","number","percentage"
"canada","44,970","37,315","83.0"
"newfoundland and labrador","1,495","1,295","86.5"
"prince edward island","300","250","82.5"
"nova scotia","2,330","1,930","82.9"
"new brunswick","1,545","1,275","82.5"
"ontario","21,510","17,440","81.1"
"manitoba","2,385","1,945","81.7"
"saskatchewan","2,070","1,745","84.2"
"alberta","5,145","4,320","84.0"
"british columbia","8,050","6,995","86.9"
"yukon","45","40","87.0"
"northwest territories","70","60","84.5"
"nunavut","25","20","88.5"
