"club","season","league","league","league","national cup","national cup","league cup","league cup","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"chicago fire premier","2010","usl premier development league","16","1","-","-","16","1","none","none"
"chicago fire","2012","major league soccer","28","3","1","0","1","0","30","3"
"chicago fire","2013","major league soccer","34","1","4","0","0","0","38","1"
"chicago fire","total","total","62","4","5","0","1","0","68","4"
"philadelphia union","2014","major league soccer","6","0","0","0","0","0","6","0"
"fc anyang","2015","k league 2","34","1","0","0","0","0","34","1"
"fc cincinnati","2016","united soccer league","20","3","0","0","1","0","21","3"
"fc cincinnati","2017","united soccer league","30","1","6","1","1","0","37","2"
"fc cincinnati","total","total","50","4","6","1","2","0","58","5"
"career total","career total","career total","168","10","11","1","3","0","182","11"
