"club","season","league","league","national cup","national cup","league cup","league cup","europe","europe","other","other","total","total"
"club","season","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"molde","1995","26","20","4","6","-","-","4","3","-","-","34","29"
"molde","1996","16","11","4","1","-","-","20","12","none","none","none","none"
"molde","total","42","31","8","7","-","-","4","3","-","-","54","41"
"manchester united","1996-97","33","18","3","0","0","0","10","1","0","0","46","19"
"manchester united","1997-98","22","6","2","2","0","0","6","1","0","0","30","9"
"manchester united","1998-99","19","12","8","1","3","3","6","2","1","0","37","18"
"manchester united","1999-2000","28","12","-","-","1","0","11","3","6","0","46","15"
"manchester united","2000-01","31","10","2","1","2","2","11","0","1","0","47","13"
"manchester united","2001-02","30","17","2","1","0","0","15","7","0","0","47","25"
"manchester united","2002-03","37","9","2","1","4","1","14","4","-","-","57","15"
"manchester united","2003-04","13","0","3","0","0","0","2","1","1","0","19","1"
"manchester united","2004-05","0","0","0","0","0","0","0","0","0","0","0","0"
"manchester united","2005-06","3","0","2","0","0","0","0","0","-","-","5","0"
"manchester united","2006-07","19","7","6","2","1","1","6","1","-","-","32","11"
"manchester united","total","235","91","30","8","11","7","81","20","9","0","366","126"
"career total","career total","277","122","38","15","11","7","85","23","9","0","420","167"
