"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"shrewsbury town","1985-86","second division","2","0","0","0","0","0","0","0","2","0"
"shrewsbury town","1986-87","second division","11","1","0","0","0","0","0","0","11","1"
"shrewsbury town","1987-88","second division","33","3","0","0","3","1","1","0","37","4"
"shrewsbury town","1988-89","second division","15","1","0","0","1","0","1","0","17","1"
"shrewsbury town","total","total","61","5","0","0","4","1","2","0","67","6"
"wolves","1988-89","third division","11","1","0","0","0","0","2","0","13","1"
"wolves","1989-90","second division","15","1","0","0","0","0","0","0","15","1"
"wolves","1990-91","second division","28","1","1","0","2","1","2","0","32","2"
"wolves","1991-92","second division","17","3","1","0","3","1","0","0","21","4"
"wolves","1992-93","first division","4","0","0","0","0","0","0","0","4","0"
"wolves","total","total","75","7","1","0","5","2","2","0","85","8"
"stoke city","1991-92","third division","7","1","0","0","0","0","0","0","7","1"
"bradford city","1993-94","second division","11","0","0","0","3","1","0","0","14","1"
"hereford united","1993-94","third division","20","2","0","0","0","0","0","0","20","2"
"hereford united","1994-95","third division","5","0","1","0","2","0","1","0","9","0"
"hereford united","1995-96","third division","7","0","1","0","0","0","2","0","10","0"
"hereford united","total","total","32","2","2","0","2","0","3","0","28","2"
"exeter city","1996-97","third division","24","3","0","0","0","0","1","0","25","3"
"career total","career total","career total","210","18","3","0","14","4","8","0","235","22"
