"","aboriginal","aboriginal","non-aboriginal","non-aboriginal"
"","number","percent","number","percent"
"sex","","","",""
"male victims","118","75.6","360","73.2"
"female victims","38","24.4","132","26.8"
"male accused persons","159","80.3","291","90.7"
"female accused persons","39","19.7","30","9.3"
"","average age","standard deviation of average age","average age","standard deviation of average age"
"age","","","",""
"victims","32.3","13.9","38.0","18.5"
"accused persons","26.8","9.3","33.0","14.8"
