"club","season","league","league","league","fa cup","fa cup","league cup","league cup","europe","europe","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"everton","1965-66","first division","2","0","0","0","0","0","0","0","0","0","2","0"
"everton","1966-67","first division","4","3","0","0","0","0","0","0","0","0","4","3"
"everton","1967-68","first division","34","16","6","3","2","1","0","0","0","0","46","20"
"everton","1968-69","first division","42","22","5","4","4","3","0","0","0","0","51","29"
"everton","1969-70","first division","42","23","1","0","4","0","0","0","0","0","47","23"
"everton","1970-71","first division","40","17","5","2","0","0","6","4","1","0","52","23"
"everton","1971-72","first division","28","9","3","0","1","0","0","0","0","0","32","9"
"everton","1972-73","first division","14","7","0","0","1","0","0","0","0","0","15","7"
"everton","1973-74","first division","18","2","3","0","1","0","0","0","0","0","22","2"
"everton","1974-75","first division","8","3","0","0","2","0","0","0","0","0","10","3"
"everton","total","total","232","102","23","9","14","4","6","4","1","0","276","119"
"manchester city","1974-75","first division","16","1","0","0","0","0","0","0","0","0","16","1"
"manchester city","1975-76","first division","37","12","2","0","9","6","0","0","0","0","48","18"
"manchester city","1976-77","first division","39","7","4","2","1","0","2","0","0","0","46","9"
"manchester city","1977-78","first division","7","3","0","0","2","0","2","0","0","0","11","3"
"manchester city","total","total","99","23","6","2","12","6","4","0","0","0","121","31"
"bristol city","1977-78","first division","26","8","2","0","0","0","0","0","0","0","28","8"
"bristol city","1978-79","first division","40","7","2","0","1","0","0","0","0","0","43","7"
"bristol city","1979-80","first division","35","3","0","0","6","2","0","0","0","0","41","5"
"bristol city","total","total","101","18","4","0","7","2","0","0","0","0","112","20"
"norwich city","1980-81","first division","40","9","2","0","3","1","0","0","0","0","45","10"
"norwich city","1981-82","second division","2","0","0","0","0","0","0","0","0","0","2","0"
"norwich city","total","total","42","9","2","0","3","1","0","0","0","0","47","10"
"career total","career total","career total","474","152","35","11","36","13","10","4","1","0","556","180"
