"jurisdiction","administration and central services","custody","community supervision","national and provincial parole boards","other federal expenditures","total","change from 2015/2016","average daily inmate cost in 2016/2017","per capita cost in 2016/2017"
"jurisdiction","administration and central services","custody","community supervision","national and provincial parole boards","other federal expenditures","total","change from 2015/2016","average daily inmate cost in 2016/2017","per capita cost in 2016/2017"
"jurisdiction","thousands of dollars","thousands of dollars","thousands of dollars","thousands of dollars","thousands of dollars","thousands of dollars","percent","dollars","dollars"
"newfoundland and labrador","229","31,777","4,333",".","..","36,339","-4","253","69"
"prince edward island","440","8,595","1,393",".","..","10,428","1","297","70"
"nova scotia","4,809","43,671","8,381",".","..","56,861","-3","245","60"
"new brunswick","1,456","32,908","4,242",".","..","38,606","2","201","51"
"quebec","10,920","406,600","76,126","4,769","..","498,415","2","220","60"
"ontario","45,410","659,818","116,249","2,263","..","823,739","-1","235","59"
"manitoba","3,887","183,065","22,138",".","..","209,090","1","204","159"
"saskatchewan","5,825","114,956","22,394",".","..","143,176","8","166","124"
"alberta","8,753","201,172","41,431",".","..","251,356","4","144","59"
"british columbia","13,389","226,599","55,719",".","..","295,707","10","227","62"
"yukon","553","11,147","2,299",".","..","13,999","2","366","373"
"northwest territories","1,192","25,600","4,034",".","..","30,826","-6","382","693"
"nunavut","4,101","29,813","3,437",".","..","37,351","-2","594","1007"
"total-provinces and territories","100,965","1,975,723","362,176","7,032","..","2,455,894","2","213","67"
"federal","..","1,377,473","146,511","46,800","685,063","2,255,848","0","288","62"
"total-all jurisdictions","..","3,353,196","508,687","53,832","..","4,701,741","1","240","130"
