"","average reservation wage","average reservation wage","ratio of the reservation wage to the current or previous wage","ratio of the reservation wage to the current or previous wage"
"","paid workers looking for a new job","unemployed persons","paid workers looking for a new job","unemployed persons"
"","dollars","dollars","ratio","ratio"
"total employees","28.04","18.32","1.23","1.18"
"sex","","","",""
"men","31.42","20.96","1.30","1.21"
"women","24.43","15.11","1.15","1.14"
"age group","","","",""
"18 to 24","16.22","12.32","1.13","1.28"
"25 to 34","27.58","20.22","1.29","1.16"
"35 to 54","34.01","20.00","1.22","1.21"
"55 and over","35.03","24.60","1.27","1.07"
"highest level of education","","","",""
"high school or less","19.32","15.12","1.13","1.09"
"postsecondary certificate or diploma below the bachelor level","26.34","20.48","1.24","1.23"
"postsecondary certificate or diploma equal to or above the bachelor level","34.97","23.96","1.29","1.34"
