"year","total charges","total charges","total cases","total cases"
"year","number","percent change from previous year","number","percent change from previous year"
"2005/2006","1,094,431","..","382,322",".."
"2006/2007","1,109,587","1.4","380,537","-0.5"
"2007/2008","1,151,509","3.8","393,193","3.3"
"2008/2009","1,187,324","3.1","398,697","1.4"
"2009/2010","1,224,191","3.1","410,051","2.8"
"2010/2011","1,224,787","0.0","409,957","0.0"
"2011/2012","1,196,169","-2.3","394,116","-3.9"
"2012/2013","1,182,345","-1.2","387,614","-1.6"
"2013/2014","1,071,314","-9.4","360,640","-7.0"
