"year","women","women","men","both sexes"
"year","thousands","as a percentage of the total population","thousands","thousands"
"observations","","","",""
"1921","204.9","48.8","215.1","420.0"
"1931","281.4","48.8","294.7","576.1"
"1941","376.9","49.1","391.1","768.0"
"1951","534.9","49.2","551.4","1,086.3"
"1956","621.6","50.0","622.3","1,243.9"
"1961","717.0","51.5","674.1","1,391.2"
"1966","823.0","53.5","716.6","1,539.5"
"1971","972.1","55.2","790.3","1,762.4"
"1976","1,135.5","56.1","887.1","2,022.6"
"1981","1,360.0","57.2","1,017.0","2,377.0"
"1986","1,589.1","58.1","1,147.5","2,736.6"
"1991","1,864.4","58.0","1,348.0","3,212.5"
"1996","2,065.2","57.7","1,513.8","3,579.0"
"2001","2,229.8","57.0","1,682.4","3,912.3"
"2006","2,430.2","56.4","1,879.7","4,310.0"
"2011","2,748.9","55.5","2,201.4","4,950.3"
"2015","3,161.4","54.7","2,619.5","5,780.9"
"projections","","","",""
"2021","3,820.8","53.8","3,276.6","7,097.4"
"2026","4,469.3","53.3","3,911.1","8,380.4"
"2031","5,057.5","53.0","4,481.6","9,539.1"
"2036","5,427.3","53.0","4,822.1","10,249.4"
"2041","5,686.0","53.0","5,051.8","10,737.8"
"2046","5,929.7","52.9","5,276.5","11,206.1"
"2051","6,178.2","52.8","5,514.9","11,693.1"
"2056","6,433.2","52.7","5,773.9","12,207.0"
"2061","6,722.4","52.4","6,096.4","12,818.7"
