"outcome variable","public high school","private high school","private high school minus public high school"
"outcome variable","mean","mean","difference"
"log of reading score","6.284","6.365","0.081"
"log of mathematics score","6.278","6.362","0.084"
"log of science score","6.267","6.355","0.088"
"high school graduation","0.955","0.988","0.034"
"postsecondary attendance","0.793","0.909","0.116"
"university attendance","0.456","0.634","0.178"
"postsecondary graduation","0.506","0.667","0.162"
"university graduation","0.215","0.354","0.139"
"graduate or professional studies","0.048","0.130","0.081"
