"industry","share of employment","share of gross output"
"industry","percent","percent"
"mining and oil and gas extraction","16.54","43.67"
"utilities","8.95","47.56"
"construction","4.33","20.18"
"manufacturing","17.21","48.11"
"wholesale and retail trade","7.27","29.16"
"transportation and warehousing","5.31","31.46"
"information and culture","6.46","25.29"
"broadcasting and telecommunications","12.70","36.86"
"finance, insurance and real estate","3.81","27.22"
"arts, entertainment and recreation","5.27","37.11"
"accommodation and food services","2.23","7.68"
"other services","4.59","21.23"
"all","7.89","31.29"
