"club","season","league","league","league","national cup","national cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"west ham united","1998-99","premier league","8","0","1","0","0","0","-","-","9","0"
"west ham united","1999-2000","premier league","22","1","1","0","4","1","5","0","32","2"
"west ham united","2000-01","premier league","30","5","4","0","2","0","-","-","36","5"
"west ham united","2001-02","premier league","30","0","3","1","0","0","-","-","33","1"
"west ham united","2002-03","premier league","36","4","2","1","2","0","-","-","40","5"
"west ham united","total","total","126","10","11","2","8","1","5","0","150","13"
"chelsea","2003-04","premier league","35","1","3","0","3","2","9","0","50","3"
"chelsea","2004-05","premier league","27","8","3","0","6","0","9","1","45","9"
"chelsea","2005-06","premier league","34","8","6","2","1","0","7","1","48","11"
"chelsea","2006-07","premier league","13","0","2","0","2","1","7","1","24","2"
"chelsea","2007-08","premier league","33","7","3","0","5","1","14","2","55","10"
"chelsea","2008-09","premier league","14","2","2","0","0","0","4","1","20","3"
"chelsea","2009-10","premier league","26","2","5","0","3","0","5","0","39","2"
"chelsea","total","total","182","28","24","2","20","4","55","6","281","40"
"liverpool","2010-11","premier league","20","2","0","0","0","0","12","1","32","3"
"liverpool","2012-13","premier league","6","1","0","0","1","0","3","1","10","2"
"liverpool","total","total","26","3","0","0","1","0","15","2","42","5"
"lille osc","2011-12","ligue 1","32","4","3","3","2","2","6","0","43","9"
"west ham united","2012-13","premier league","11","2","1","0","0","0","-","-","12","2"
"west ham united","2013-14","premier league","20","3","0","0","5","0","-","-","25","3"
"west ham united","total","total","31","5","1","0","5","0","-","-","37","5"
"aston villa","2014-15","premier league","12","1","2","0","1","0","-","-","15","1"
"aston villa","2015-16","premier league","0","0","0","0","1","0","-","-","1","0"
"aston villa","total","total","12","1","2","0","2","0","-","-","16","1"
"coventry city","2015-16","league one","7","1","0","0","0","0","-","-","7","1"
"coventry city","2015-16","league one","15","1","0","0","0","0","-","-","15","1"
"coventry city","total","total","22","2","0","0","0","0","-","-","22","2"
"tampa bay rowdies","2016","nasl","24","9","2","0","-","-","26","9","none","none"
"tampa bay rowdies","2017","usl","28","7","1","0","-","-","29","7","none","none"
"tampa bay rowdies","2018","usl","30","4","1","0","-","-","31","4","none","none"
"tampa bay rowdies","total","total","82","20","4","0","-","-","86","20","none","none"
"career total","career total","career total","513","73","45","7","38","7","81","8","677","95"
