"","international agreements","canadian interests - employment benefits","other canadian interests","temporary foreign workers with labour market opinion","live-in caregiver program"
"","percent","percent","percent","percent","percent"
"educational attainments","","","","",""
"high school or less","9.13","10.10","20.28","9.52","8.00"
"diploma","17.76","22.02","27.27","24.04","39.75"
"bachelor","36.07","39.62","28.74","34.20","49.92"
"graduate","37.04","28.26","23.71","32.24","2.32"
"skill levels","","","","",""
"level 0 - managerial","16.68","41.71","5.48","6.27","0.00"
"level a - professional","59.25","39.90","65.98","61.79","0.08"
"level b - skilled and technical","13.10","11.01","16.96","27.11","0.12"
"level c - intermediate and clerical","9.51","5.41","10.35","4.46","99.12"
"level d - elemental and labourers","1.46","1.97","1.23","0.38","0.68"
"type of work permit","mixed","mixed","generally open","restricted","restricted"
"labour market opinion required","no","no","no","yes","yes"
