"club","season","league","league","league","cup","cup","league cup","league cup","continental","continental","other","other"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"temperley","2013-14","primera b metropolitana","11","0","0","0","-","-","4","0","15","0"
"temperley","2014","primera b nacional","10","0","0","0","-","-","0","0","10","0"
"temperley","2015","primera division","0","0","0","0","-","-","0","0","0","0"
"temperley","2016","primera division","0","0","0","0","-","-","0","0","0","0"
"temperley","2016-17","primera division","1","0","0","0","-","-","0","0","1","0"
"temperley","2017-18","primera division","4","0","0","0","-","-","0","0","4","0"
"temperley","total","total","26","0","0","0","-","-","4","0","30","0"
"defensores de belgrano","2015","primera b metropolitana","21","2","0","0","-","-","2","0","23","2"
"deportivo armenio","2016","primera b metropolitana","7","0","0","0","-","-","0","0","7","0"
"career total","career total","career total","54","2","0","0","-","-","6","0","60","2"
