"cbsa","cbsa code","total","paid for by the company","paid for by others"
"all locations","-","355821","296677","59144"
"cbsas with at least $1 billion of r&d","-","292890","244353","43536"
"san jose-sunnyvale-santa clara, ca","41940","48861","45136","3724"
"san francisco-oakland-hayward, ca","41860","25196","23900","1296"
"new york-newark-jersey city, ny-nj-pa","35620","22389","18181","4208"
"boston-cambridge-newton, ma-nh","14460","20282","16681","3602"
"seattle-tacoma-bellevue, wa","42660","16135","15650","485"
"los angeles-long beach-anaheim, ca","31080","15067","10844","4224"
"detroit-warren-dearborn, mi","19820","13449","12721","728"
"san diego-carlsbad, ca","41740","10160","8358","1802"
"philadelphia-camden-wilmington, pa-nj-de-md","37980","9757","7902","1855"
"chicago-naperville-elgin, il-in-wi","16980","9450","8427","1023"
"minneapolis-st. paul-bloomington, mn-wi","33460","6155","5658","497"
"portland-vancouver-hillsboro, or-wa","38900","6141","5939","202"
"houston-the woodlands-sugar land, tx","26420","5865","5067","798"
"dallas-fort worth-arlington, tx","19100","5520","4316","1205"
"st. louis, mo-il","41180","5007","d","d"
"washington-arlington-alexandria, dc-va-md-wv","47900","4980","2775","2205"
"norwich-new london, ct","35980","4271","3186","1085"
"austin-round rock, tx","12420","4209","3914","295"
"indianapolis-carmel-anderson, in","26900","4073","3459","613"
"phoenix-mesa-scottsdale, az","38060","4004","3321","682"
"atlanta-sandy springs-roswell, ga","12060","3901","3166","735"
"cincinnati, oh-ky-in","17140","3595","2571","1025"
"sacramento--roseville--arden-arcade, ca","40900","3077","2018","1059"
"baltimore-columbia-towson, md","12580","2971","1506","1465"
"raleigh, nc","39580","2840","1574","1265"
"durham-chapel hill, nc","20500","2744","2120","625"
"oxnard-thousand oaks-ventura, ca","37100","2274","1972","302"
"kansas city, mo-ks","28140","2138","1511","627"
"hartford-west hartford-east hartford, ct","25540","1982","1272","710"
"salt lake city, ut","41620","1862","1702","160"
"denver-aurora-lakewood, co","19740","1802","1655","147"
"columbus, oh","18140","1792","743","1049"
"miami-fort lauderdale-west palm beach, fl","33100","1716","1486","231"
"bridgeport-stamford-norwalk, ct","14860","1683","1461","223"
"charlotte-concord-gastonia, nc-sc","16740","1565","1482","84"
"milwaukee-waukesha-west allis, wi","33340","1528","1457","71"
"madison, wi","31540","1470","1004","467"
"pittsburgh, pa","38300","1445","1344","102"
"manchester-nashua, nh","31700","1432","383","1048"
"peoria, il","37900","1422","1411","11"
"boise city, id","14260","1416","1181","236"
"trenton, nj","45940","1360","1087","273"
"albany-schenectady-troy, ny","10580","1256","923","333"
"cleveland-elyria, oh","17460","1254","1066","188"
"boulder, co","14500","1160","1061","99"
"rochester, ny","40380","1149","1043","106"
"tucson, az","46060","1085","719","366"
"cbsas with less than $1 billion of r&d","-","49872","42077","12797"
"locations outside a cbsa","-","2555","2059","495"
"undistributeda","-","10504","8188","2316"
