"characteristic","formal home care services","formal home care services","formal home care services"
"characteristic","%","95% confidence interval","95% confidence interval"
"characteristic","%","from","to"
"total","6.4","6.2","6.6"
"household type","","",""
"person living alone","7.6","7.2","8.1"
"couple alone","5.9","5.6","6.3"
"parent(s) with child(ren) under 25","4.9","4.6","5.3"
"parent(s) with child(ren) 25 or older","12.8","11.6","14.2"
"other","4.4","3.5","5.5"
"place of residence","","",""
"rural area","6.9","6.5","7.4"
"small population centre","7.8","7.2","8.4"
"medium population centre","7.4","6.7","8.1"
"large urban population centre","5.9","5.6","6.2"
"household education","","",""
"postsecondary","5.4","5.2","6.5"
"secondary graduation or less","9.0","8.5","5.7"
"main source of household income","","",""
"social assistance / oas / gis","13.4","12.3","14.6"
"other","5.7","5.5","5.9"
"household income","","",""
"$0 to $39,999","9.7","9.1","10.2"
"$40,000 to $59,999","6.6","6.0","7.2"
"$60,000 to $79,999","5.8","5.3","6.4"
"$80,000 or more","4.4","4.1","4.7"
"dwelling ownership","","",""
"own","6.1","5.9","6.4"
"rent","7.1","6.7","7.6"
"province/territory","","",""
"nova scotia","7.8","6.9","8.8"
"northwest territories","7.2","5.1","10.1"
"quebec","7.1","6.6","7.6"
"new brunswick","7.0","5.9","8.1"
"ontario","6.7","6.3","7.2"
"prince edward island","6.4","5.2","7.7"
"newfoundland and labrador","6.2","5.1","7.4"
"alberta","6.0","5.4","6.6"
"nunavut","5.9","3.7","9.4"
"manitoba","5.7","4.8","6.7"
"saskatchewan","5.4","4.6","6.4"
"british columbia","4.9","4.4","5.4"
"yukon","3.8","2.9","5.0"
