"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"crewe alexandra","1997-98","first division","3","0","0","0","0","0","-","-","3","0"
"crewe alexandra","1998-99","first division","20","1","0","1","0","0","-","-","21","1"
"crewe alexandra","1999-2000","first division","45","0","1","0","3","0","-","-","49","0"
"crewe alexandra","2000-01","first division","42","0","2","0","4","0","-","-","48","0"
"crewe alexandra","2001-02","first division","30","0","4","0","0","0","-","-","34","0"
"crewe alexandra","2002-03","second division","31","1","4","0","1","0","4","0","40","1"
"crewe alexandra","2003-04","first division","40","1","1","0","2","0","-","-","43","1"
"crewe alexandra","total","total","211","3","12","0","11","0","4","0","238","3"
"wigan athletic","2004-05","championship","31","0","1","0","0","0","-","-","32","0"
"wigan athletic","2005-06","premier league","2","0","0","0","2","0","-","-","4","0"
"wigan athletic","2006-07","premier league","12","0","0","0","1","0","-","-","13","0"
"wigan athletic","total","total","45","0","1","0","3","0","-","-","49","0"
"norwich city","2005-06","championship","5","0","0","0","0","0","-","-","5","0"
"ipswich town","2006-07","championship","19","1","1","0","0","0","-","-","20","1"
"ipswich town","2007-08","championship","41","2","1","0","1","0","-","-","43","2"
"ipswich town","2008-09","championship","34","1","2","0","0","0","-","-","36","1"
"ipswich town","2009-10","championship","26","1","1","0","2","0","-","-","29","1"
"ipswich town","total","total","120","5","5","0","3","0","-","-","128","5"
"crystal palace","2010-11","championship","28","0","1","0","0","0","-","-","29","0"
"crystal palace","2011-12","championship","22","0","1","0","2","0","-","-","25","0"
"crystal palace","2012-13","championship","1","0","0","0","2","0","-","-","3","0"
"crystal palace","total","total","51","0","2","0","4","0","-","-","57","0"
"gillingham","2012-13","league two","7","0","0","0","0","0","0","0","7","0"
"colchester united","2012-13","league one","12","0","0","0","0","0","0","0","12","0"
"colchester united","2013-14","league one","35","1","0","0","1","0","1","0","36","1"
"colchester united","2014-15","league one","2","0","0","0","0","0","1","0","3","0"
"colchester united","total","total","49","1","0","0","1","0","2","0","52","1"
"career total","career total","career total","488","9","20","0","22","0","6","0","536","9"
