"year","title","chart positions","chart positions","chart positions","chart positions","chart positions","chart positions","chart positions","album"
"year","title","uk","aus","bel","nz","nl","swe","tur","album"
"2002","nu flow","3","3","2","1","2","2","2","nu-flow"
"2003","ok","7","64","24","-","37","40","44","nu-flow"
"2003","favourite things","2","3","17","3","76","47","51","nu-flow"
"2003","baby boy","4","8","29","13","-","-","58","nu-flow"
"2003","ain't what you do","15","-","-","-","-","-","-","nu-flow"
"2004","we wanna thank you","17","-","-","-","-","-","-","scooby-doo 2: monsters unleashed ost"
"2004","thank you","17","56","48","-","-","-","-","scooby-doo 2: monsters unleashed ost"
"2004","yours fatally","15","-","-","-","-","-","-","re-entry"
"2006","hangin' around","57","-","-","-","-","-","-","re-entry"
"2007","big bro thang","171","-","-","-","-","-","-","re-entry"
