"","no physical condition","any physical condition","unadjusted odds ratio","95% confidence interval","95% confidence interval"
"","%","%","unadjusted odds ratio","from","to"
"any child abuse","","","","",""
"no","72.5","64.1","1.0","..",".."
"yes","27.5","36.0","1.5","1.3","1.6"
"any physical abuse","","","","",""
"no","77.4","71.0","1.0","..",".."
"yes","22.6","29.0","1.4","1.3","1.6"
"slapped on face, head, ears/hit or spanked with something hard","","","","",""
"no","80.8","75.2","1.0","..",".."
"yes","19.2","24.8","1.4","1.2","1.6"
"pushed, grabbed, shoved, something thrown at","","","","",""
"no","92.0","87.4","1.0","..",".."
"yes","8.0","12.6","1.7","1.4","1.9"
"kicked, bit, punched, choked, burned, attacked","","","","",""
"no","93.0","87.8","1.0","..",".."
"yes","7.0","12.2","1.8","1.6","2.1"
"sexual abuse","","","","",""
"no","93.1","87.2","1.0","..",".."
"yes","7.0","12.8","2.0","1.7","2.3"
"exposure to intimate partner violence","","","","",""
"no","93.9","90.6","1.0","..",".."
"yes","6.1","9.4","1.6","1.3","1.9"
