"type of weapon present","females","females","males","males","total","total"
"type of weapon present","number","percent","number","percent","number","percent"
"threats","6,918","8","53,157","13","60,075","12"
"physical force","57,992","67","304,100","75","362,092","74"
"weapon","20,422","24","41,792","10","62,214","13"
"firearm","199","0.2","2,220","0.5","2,419","0.5"
"knife","7,773","9","11,427","3","19,200","4"
"club or other blunt instrument","2,584","3","4,752","1","7,336","1"
"other weapon","9,866","11","23,393","6","33,259","7"
"unknown","967","1","5,088","1","6,055","1"
"total","86,299","100","404,137","100","490,436","100"
"level of injury","","","","","",""
"no injury","45,041","40","221,406","43","266,447","42"
"minor physical injury","60,829","54","266,251","51","327,080","52"
"major physical injury or death","2,011","2","8,807","2","10,818","2"
"unknown","3,854","3","20,962","4","24,816","4"
"total","111,735","100","517,426","100","629,161","100"
