"","men","men","women","women"
"","experienced workplace harassment","did not experience workplace harassment","experienced workplace harassment","did not experience workplace harassment"
"","percent","percent","percent","percent"
"unadjusted results","","","",""
"dissatisfied with current job","13.7","4.9","13.6","3.4"
"planning on leaving current job in next 12 months","23.6","16.6","22.4","15.3"
"low motivation to perform their best at current organization","24.0","9.2","19.5","7.7"
"weak sense of belonging to current organization","30.9","16.2","26.7","16.1"
"","predicted probabilities","predicted probabilities","predicted probabilities","predicted probabilities"
"adjusted results","","","",""
"dissatisfied with current job","12.9","5.1","11.9","3.4"
"planning on leaving current job in next 12 months","25.0","17.5","19.7","14.7"
"low motivation to perform their best at current organization","23.2","9.4","17.7","7.8"
"weak sense of belonging to current organization","30.3","16.4","25.6","16.2"
