"characteristic","%","95% confidence interval","95% confidence interval"
"characteristic","%","95% confidence interval","95% confidence interval"
"characteristic","%","from","to"
"depression","","",""
"lifetime","10.7","9.3","12.1"
"past 12 months","7.1","6.0","8.4"
"suicidal thoughts","","",""
"lifetime","14.1","12.6","15.7"
"past 12 months","5.8","4.9","6.9"
"suicide plan","","",""
"lifetime","4.9","4.1","5.8"
"past 12 months","2.2","1.6","2.9"
"suicide attempt","","",""
"lifetime","3.5","2.8","4.4"
"past 12 months","1.0","0.6","1.7"
"ever (lifetime) consulted professional about symptoms of depression","","",""
"no","39.4","33.1","46.1"
"yes","60.6","53.9","66.9"
"duration of worst episode of symptoms of depression","","",""
"less than 1 month","15.1","10.5","21.0"
"1 month to less than 6 months","52.3","44.5","60.0"
"6 months to less than 1 year","14.3","9.8","20.4"
"1 year or more","18.4","13.6","24.4"
"recency of depression","","",""
"past month","21.4","15.0","29.6"
"1 to 6 months ago","40.9","32.9","49.5"
"more than 6 months ago","37.7","29.9","46.1"
