"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"wigan athletic","1982-83","third division","5","1","0","0","0","0","5","1"
"rotherham united","1982-83","second division","4","0","0","0","0","0","4","0"
"everton","1980-81","first division","11","0","0","0","0","0","11","0"
"everton","1981-82","first division","13","0","1","0","2","0","16","0"
"everton","1982-83","first division","0","0","0","0","0","0","0","0"
"everton","total","total","24","0","1","0","2","0","27","0"
"preston north end","1982-83","third division","19","0","0","0","0","0","19","0"
"preston north end","1983-84","third division","19","0","1","0","5","0","25","0"
"preston north end","total","total","38","0","1","0","5","0","44","0"
"port vale","1984-85","fourth division","3","0","0","0","0","0","3","0"
"bolton wanderers","1984-85","third division","4","0","0","0","1","0","5","0"
"stockport county","1984-85","fourth division","12","2","0","0","0","0","12","2"
"stockport county","1985-86","fourth division","1","0","0","0","1","0","2","0"
"stockport county","total","total","13","2","0","0","1","0","14","2"
"southport","1985-86","northern premier league","11","1","0","0","2","0","13","1"
"southport","1986-87","northern premier league","37","4","9","1","17","0","63","5"
"southport","1987-88","northern premier league","21","0","1","0","4","0","26","0"
"southport","total","total","69","5","10","1","23","0","102","6"
"macclesfield town","1987-88","conference","12","0","0","0","3","1","15","1"
"macclesfield town","1988-89","conference","2","0","0","0","0","0","2","0"
"macclesfield town","total","total","14","0","0","0","3","1","17","1"
"southport","1993-94","conference","26","1","0","0","10","0","36","1"
"southport","1994-95","conference","38","1","2","0","6","0","46","1"
"southport","1995-96","conference","36","1","1","0","10","0","47","1"
"southport","total","total","100","3","3","0","26","0","129","3"
"career total","career total","career total","274","11","15","1","61","1","350","13"
