"characteristics","both sexes","both sexes","both sexes","men","men","men","women","women","women"
"characteristics","%","95% confidence interval","95% confidence interval","%","95% confidence interval","95% confidence interval","%","95% confidence interval","95% confidence interval"
"characteristics","%","from","to","%","from","to","%","from","to"
"total","54.0","50.8","57.2","47.7","43.3","52.1","59.5","55.0","63.7"
"sex","","","","","","","","",""
"men","47.7","43.3","52.1","..","..","..","..","..",".."
"women","59.5","55.0","63.7","..","..","..","..","..",".."
"age group","","","","","","","","",""
"45 to 54","51.5","46.4","56.5","44.8","37.9","52.0","56.9","50.2","63.3"
"55 to 64","50.7","45.2","56.2","48.6","41.2","56.0","52.7","45.0","60.3"
"65 or older","65.6","59.3","71.4","52.5","43.2","61.6","77.6","70.4","83.4"
"aboriginal language","","","","","","","","",""
"speaks and/or understands relatively well or better","59.8","47.2","71.3","58.4","39.1","75.4","60.9","44.7","75.1"
"does not speak or understand well or at all","53.4","50.0","56.8","47.0","42.4","51.7","59.0","54.3","63.6"
"education","","","","","","","","",""
"less than secondary school diploma","58.7","53.5","63.7","50.8","43.4","58.2","65.4","58.2","72.0"
"secondary school diploma","58.8","50.9","66.3","53.7","41.4","65.6","62.7","52.7","71.6"
"postsecondary","49.2","44.7","53.6","44.4","38.4","50.6","53.6","47.5","59.7"
"labour force participant","","","","","","","","",""
"yes","51.2","47.0","55.4","46.8","41.0","52.6","55.5","49.5","61.4"
"no","58.5","53.3","63.5","49.5","41.7","57.4","64.8","58.2","70.9"
"population size","","","","","","","","",""
"rural area","56.8","51.5","62.0","47.9","40.2","55.6","64.6","57.5","71.1"
"small, medium or large population centre","52.8","48.9","56.7","47.6","42.3","53.0","57.3","51.9","62.6"
