"industry, naics code, and company size","all r&d","paid for by the companya","paid for by others","paid for by others","paid for by others","paid for by others","paid for by others"
"industry, naics code, and company size","all r&d","paid for by the companya","total","federal","companies","companies","all other organizationsc"
"industry, naics code, and company size","all r&d","paid for by the companya","total","federal","domestic","foreignb","all other organizationsc"
"all industries, 21-33, 42-81","355821","296677","59144","26990","14595","16317","1242"
"manufacturing industries, 31-33","236132","195792","40340","21552","5008","12907","873"
"chemicals, 325","68196","58769","9427","410","1546","7413","58"
"pharmaceuticals and medicines, 3254","58675","50242","8432","138","1465","6772","57"
"other 325","9521","8527","995","272","81","641","1"
"machinery, 333","13426","12544","881","222","203","438","18"
"computer and electronic products, 334","72110","63765","8345","4213","1474","2459","199"
"electrical equipment, appliance, and components, 335","4335","3852","483","50","16","396","21"
"transportation equipment, 336","49274","29224","20050","16515","1304","1690","541"
"automobiles, bodies, trailers, and parts, 3361-63","19078","16636","2441","200","547","1602","92"
"aerospace products and parts, 3364","27464","11138","16326","15064","738","76","448"
"other 336","2732","1450","1283","1251","19","12","1"
"manufacturing nec, other 31-33","28791","27638","1154","142","465","511","36"
"nonmanufacturing industries, 21-23, 42-81","119690","100885","18804","5438","9587","3411","368"
"information, 51","65513","64578","935","51","d","d","d"
"software publishers, 5112","33248","32500","747","22","d","d","d"
"other 51","32265","32078","188","29","d","d","d"
"finance and insurance, 52","5366","5329","38","0","6","0","32"
"professional, scientific, and technical services, 54","38626","21915","16710","5323","9074","2048","265"
"computer systems design and related services, 5415","14333","12418","1915","605","1112","127","71"
"scientific r&d services, 5417","16329","3896","12433","2939","7669","1684","141"
"other 54","7964","5601","2362","1779","293","237","53"
"nonmanufacturing nec, other 21-23, 42-81","10185","9063","1121","64","d","d","d"
"size of company","","","","","","",""
"micro companiesd","","","","","","",""
"5-9","2988","1972","1016","412","396","166","42"
"small companies","","","","","","",""
"10-19","5680","4434","1246","317","452","445","32"
"20-49","10249","7933","2316","1024","767","477","48"
"medium companies","","","","","","",""
"50-99","11509","8803","2706","532","1279","855","40"
"100-249","13602","11037","2566","1006","723","740","97"
"large companies","","","","","","",""
"250-499","13553","11368","2185","723","449","934","79"
"500-999","15217","13194","2023","183","634","1175","31"
"1,000-4,999","58094","48264","9830","1644","1942","6152","92"
"5,000-9,999","38838","34660","4178","891","1143","2050","94"
"10,000-24,999","59328","48450","10878","4244","3519","2936","179"
"25,000 or more","126763","106562","20201","16013","3290","388","510"
