"","total","comparison","ndc","mhc","both"
"youth characteristics","","","","",""
"female","52.17","53.92","43.18","30.13","f"
"age in school years","10.87","10.81","11.42","11.40","11.11"
"mathematics score","2.54","2.59","1.96","2.10","1.63"
"parent characteristics","","","","",""
"at least one parent completed postsecondary education","51.54","51.98","46.16","48.18","48.90"
"aspiration for university education for the youth","71.68","74.39","35.23","56.68","43.99"
"family characteristics","","","","",""
"household income ≥ $50,000","62.22","63.09","59.52","54.33","41.22"
"household size","3.33","3.34","3.29","3.07","3.06"
"main outcome variable","","","","",""
"enrollment in postsecondary education","","","","",""
"by age 18 to 19","58.51","61.37","38.12","35.86","f"
"by age 19 to 20","68.11","70.74","49.32","44.79","28.13"
"by age 20 to 21","72.30","75.01","54.99","45.26","33.15"
"by age 21 to 22","74.32","76.85","60.22","47.68","36.01"
"observations","5,222","4,749","193","199","81"
"proportion of sample","100","90","4","4","2"
