"farm size","all farms","farms with natural land for pasture","farms with natural land for pasture","natural land for pasture","natural land for pasture","natural land for pasture"
"farm size","all farms","farms with natural land for pasture","farms with natural land for pasture","area","average area per farm","as a percentage of agricultural land area"
"farm size","number","number","percent","hectares","hectares","percent"
"all farms","205,730","82,865","40.3","14,703,330","177.4","22.7"
"under 100","105,169","33,915","32.2","470,698","13.9","12.0"
"100 to 199","34,182","14,408","42.2","625,001","43.4","12.6"
"200 to 299","15,226","6,985","45.9","518,719","74.3","13.8"
"300 to 399","10,730","5,290","49.3","558,330","105.5","14.9"
"400 to 499","6,650","3,348","50.3","455,551","136.1","15.3"
"500 to 749","11,918","6,324","53.1","1,209,269","191.2","16.6"
"750 to 999","7,075","3,838","54.2","1,033,186","269.2","16.9"
"1,000 to 1,999","10,145","5,742","56.6","2,678,327","466.4","19.4"
"2,000 or more","4,635","3,015","65.0","7,154,249","2,372.9","39.2"
