"year","single","chart positions","chart positions","chart positions","chart positions","chart positions","chart positions","album"
"year","single","u.s","u.s. country","canada","canada country","canada ac","australia","album"
"1970","roll away the stone","109","-","-","-","-","24","leon russell"
"1970","a song for you","-","-","-","-","-","24","leon russell"
"1971","a hard rain's a-gonna fall","105","-","-","-","-","11","leon russell and the shelter people"
"1972","tryin' to stay 'live","115","-","-","-","-","-","asylum choir ii"
"1972","tight rope","11","-","5","-","-","24","carney"
"1973","queen of the roller derby","89","-","-","-","-","-","carney"
"1973","rollin' in my sweet baby's arms","78","57","-","30","-","-","hank wilson's back, vol. 1"
"1973","i'm so lonesome i could cry","78","-","-","-","-","-","hank wilson's back, vol. 1"
"1974","a six pack to go","-","68","-","76","-","-","hank wilson's back, vol. 1"
"1974","if i were a carpenter","73","-","87","-","-","97","stop all that jazz"
"1975","lady blue","14","-","44","-","18","-","will o' the wisp"
"1976","back to the island","53","-","-","-","33","-","will o' the wisp"
"1976","rainbow in your eyes","52","-","-","-","-","-","wedding album"
"1978","heartbreak hotel","-","1","-","1","-","-","one for the road"
"1984","good time charlie's got the blues","-","63","-","-","-","-","solid state"
"1984","wabash cannonball","-","91","-","-","-","-","single only"
"1992","anything can happen","-","-","-","-","-","-","anything can happen"
"1992","no man's land","-","-","-","-","-","-","anything can happen"
"2010","if it wasn't for bad","-","-","-","-","-","-","the union"
""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart"
