"club","season","league","league","league","cup","cup","league cup","league cup","continental","continental","total","total"
"club","season","division","app","gls","app","gls","app","gls","app","gls","app","gls"
"marconi stallions","1990-91","national soccer league","17","0","-","-","-","-","-","-","17","0"
"marconi stallions","1991-92","national soccer league","17","2","-","-","-","-","-","-","17","2"
"marconi stallions","1992-93","national soccer league","27","4","-","-","-","-","-","-","27","4"
"marconi stallions","1993-94","national soccer league","24","4","-","-","-","-","-","-","24","4"
"marconi stallions","1994-95","national soccer league","18","3","-","-","-","-","-","-","18","3"
"marconi stallions","total","total","103","13","-","-","-","-","-","-","103","13"
"leicester city","1995-96","football league one","16","2","2","0","0","0","-","-","18","2"
"leicester city","total","total","16","2","2","0","0","0","-","-","18","2"
"wolverhampton wanderers","1995-96","football league one","17","0","1","0","0","0","-","-","18","0"
"wolverhampton wanderers","1996-97","football league one","36","2","2","0","4","0","-","-","42","2"
"wolverhampton wanderers","1997-98","football league one","1","0","0","0","0","0","-","-","1","0"
"wolverhampton wanderers","1998-99","football league one","31","2","1","0","1","0","-","-","33","2"
"wolverhampton wanderers","1999-00","football league one","15","1","0","0","1","0","-","-","16","1"
"wolverhampton wanderers","total","total","100","5","4","0","6","0","-","-","110","5"
"sanfrecce hiroshima","2000","j1 league","21","3","2","2","2","1","-","-","25","6"
"sanfrecce hiroshima","2001","j1 league","22","11","2","1","1","0","-","-","25","12"
"sanfrecce hiroshima","total","total","43","14","4","3","3","1","-","-","50","18"
"walsall","2001-02","football league one","13","3","0","0","0","0","-","-","13","3"
"walsall","2002-03","football league one","41","4","2","0","3","0","-","-","46","4"
"walsall","2003-04","football league one","19","2","2","0","2","0","-","-","23","2"
"walsall","2004-05","football league one","0","0","0","0","0","0","-","-","0","0"
"walsall","total","total","73","9","4","0","5","0","-","-","82","9"
"sydney fc","2005-06","a-league","21","5","4","1","-","-","5","3","30","9"
"sydney fc","2006-07","a-league","18","3","5","0","-","-","6","4","29","7"
"sydney fc","2007-08","a-league","20","4","2","0","-","-","-","-","22","4"
"sydney fc","2008-09","a-league","21","4","3","0","-","-","-","-","24","4"
"sydney fc","2009-10","a-league","26","7","-","-","-","-","-","-","26","7"
"sydney fc","total","total","106","23","14","1","-","-","11","7","136","31"
"career totals","career totals","career totals","441","66","28","4","14","1","11","7","494","78"
