"statistic","single season record","single season record","single season record","career record","career record"
"statistic","player","record","season","player","record"
"games played:","tony fernandez","163","1986","tony fernandez","1,450"
"plate appearances:","vernon wells","735","2003","carlos delgado","6,018"
"at bats:","tony fernandez","687","1986","vernon wells","5,470"
"batting average:","john olerud",".363","1993","roberto alomar",".307"
"on-base percentage:","john olerud",".473","1993","john olerud",".395"
"slugging percentage:","carlos delgado",".664","2000","carlos delgado",".556"
"on-base plus slugging:","carlos delgado","1.134","2000","carlos delgado",".949"
"runs scored:","shawn green","134","1999","carlos delgado","889"
"hits:","vernon wells","215","2003","tony fernandez","1,583"
"total bases:","carlos delgado","378","2000","carlos delgado","2,786"
"doubles:","carlos delgado","57","2000","carlos delgado","343"
"triples:","tony fernandez","17","1990","tony fernandez","72"
"home runs:","jose bautista","54","2010","carlos delgado","336"
"rbi","carlos delgado","145","2003","carlos delgado","1,058"
"walks:","jose bautista","132","2011","carlos delgado","827"
"stolen bases:","dave collins","60","1984","lloyd moseby","255"
"games played (pitcher):","mark eichhorn","89","1987","jason frasor","505"
"games started:","jim clancy","40","1982","dave stieb","408"
"wins:","roy halladay","22","2003","dave stieb","175"
"losses:","jerry garvin phil huffman","18","1977 1979","jim clancy","140"
"winning percentage:","dennis lamp","1.000","1985","roger clemens",".759"
"innings pitched:","dave stieb","288.1","1982","dave stieb","2873"
"era:","mark eichhorn","1.72","1986","tom henke","2.48"
"earned runs:","erik hanson","129","1996","dave stieb","1,091"
"strikeouts:","roger clemens","292","1997","dave stieb","1,658"
"complete games:","dave stieb","19","1982","dave stieb","102"
"shutouts:","dave stieb","5","1982","dave stieb","30"
"saves:","duane ward","45","1993","tom henke","217"
"none","none","none","none","none","none"
