"club","season","league","league","league","national cup","national cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"breiðablik","2008","urvalsdeild","22","6","3","3","-","-","25","9","none","none"
"az alkmaar","2010-11","eredivisie","23","1","2","1","-","-","9","2","34","4"
"az alkmaar","2011-12","eredivisie","30","3","4","2","-","-","13","1","47","6"
"az alkmaar","2012-13","eredivisie","31","2","6","4","-","-","1","0","38","6"
"az alkmaar","2013-14","eredivisie","35","3","4","0","-","-","14","6","53","9"
"az alkmaar","total","total","119","9","16","7","-","-","37","9","172","25"
"charlton athletic","2014-15","championship","41","10","1","1","2","0","-","-","44","11"
"charlton athletic","2015-16","championship","40","6","0","0","2","0","-","-","42","6"
"charlton athletic","total","total","81","16","1","1","4","0","-","-","86","17"
"burnley","2016-17","premier league","20","1","3","0","1","0","-","-","24","1"
"burnley","2017-18","premier league","35","2","1","0","2","0","-","-","38","2"
"burnley","2018-19","premier league","27","3","1","0","1","0","5","0","34","3"
"burnley","total","total","82","6","5","0","4","0","5","0","96","6"
"career total","career total","career total","304","37","25","11","8","0","42","9","379","57"
