"club","season","league","league","league","cup","cup","league cup","league cup","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"bayer leverkusen ii","1991-92","oberliga nordrhein","none","16","none","none","-","-","none","16"
"wuppertaler sv","1992-93","2. bundesliga","9","3","none","none","-","-","9","3"
"pohang steelers","1993","k league","0","0","-","-","1","0","1","0"
"pohang steelers","1994","k league","14","5","-","-","0","0","14","5"
"pohang steelers","1995","k league","24","11","-","-","2","0","26","11"
"pohang steelers","1996","k league","13","10","0","0","5","3","18","13"
"pohang steelers","1997","k league","0","0","1","0","1","0","2","0"
"pohang steelers","1998","k league","1","0","0","0","2","2","3","2"
"pohang steelers","total","total","52","26","1","0","11","5","64","31"
"cerezo osaka","1998","j1 league","11","6","0","0","0","0","11","6"
"cerezo osaka","1999","j1 league","25","24","0","0","2","3","27","27"
"cerezo osaka","total","total","36","30","0","0","2","3","38","33"
"suwon samsung","2000","k league","0","0","0","0","1","0","1","0"
"kashiwa reysol","2000","j1 league","6","1","0","0","1","0","7","1"
"kashiwa reysol","2001","j1 league","21","10","0","0","4","0","25","10"
"kashiwa reysol","2002","j1 league","7","1","0","0","0","0","7","1"
"kashiwa reysol","total","total","34","12","0","0","5","0","39","12"
"chunnam dragons","2002","k league","0","0","0","0","0","0","0","0"
"germany","germany","germany","9","3","none","none","-","-","9","3"
"korea republic","korea republic","korea republic","52","26","1","0","12","5","65","31"
"japan","japan","japan","70","42","0","0","7","3","77","45"
"career total","career total","career total","131","71","0","0","19","8","151","79"
