"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"aston villa","2011-12","premier league","0","0","0","0","0","0","-","-","0","0"
"aston villa","2012-13","premier league","1","0","0","0","0","0","-","-","1","0"
"aston villa","total","total","1","0","0","0","0","0","-","-","1","0"
"bristol city","2013-14","league one","43","1","2","0","3","0","0","0","48","1"
"bristol city","2014-15","league one","44","2","4","0","1","0","6","1","55","3"
"bristol city","2015-16","championship","24","1","1","0","1","0","-","-","26","1"
"bristol city","2016-17","championship","0","0","-","-","2","0","-","-","2","0"
"bristol city","total","total","111","4","7","0","7","0","6","1","131","5"
"blackburn rovers","2016-17","championship","39","1","3","0","-","-","42","1","none","none"
"blackburn rovers","2017-18","league one","25","1","2","0","2","0","1","0","30","1"
"blackburn rovers","total","total","64","2","5","0","2","0","1","0","72","2"
"career total","career total","career total","176","6","12","0","9","0","7","1","204","7"
