"year","n.l","p.e.i","n.s","n.b","que","ont","man","sask","alta","b.c","y.t","n.w.t","nvt","canada","difference in canada number from previous year"
"year","number of victims","number of victims","number of victims","number of victims","number of victims","number of victims","number of victims","number of victims","number of victims","number of victims","number of victims","number of victims","number of victims","number of victims","number of victims"
"1986","4","0","15","12","155","139","47","26","64","88","3","14","..","567",".."
"1987","5","0","14","20","174","204","44","30","73","78","0","2","..","644","77"
"1988","7","1","11","8","154","186","30","23","66","80","1","8","..","575","-69"
"1989","5","1","16","19","213","175","42","22","67","85","2","7","..","654","79"
"1990","0","1","8","11","184","182","38","36","74","110","1","12","..","657","3"
"1991","10","2","21","17","180","246","42","21","83","129","0","3","..","754","97"
"1992","2","0","21","11","166","243","29","32","92","122","2","13","..","733","-21"
"1993","7","2","19","11","159","192","31","30","49","119","0","7","..","626","-107"
"1994","4","1","19","14","126","193","29","24","66","113","3","4","..","596","-30"
"1995","5","1","17","13","135","181","26","21","60","121","4","3","..","587","-9"
"1996","7","1","18","9","154","188","45","32","51","125","0","4","..","634","47"
"1997","7","0","24","8","131","179","31","25","61","116","1","3","..","586","-48"
"1998","7","1","24","5","137","157","33","33","64","90","3","5","..","559","-27"
"1999","2","1","14","9","137","162","26","13","61","110","1","1","2","539","-20"
"2000","6","3","16","10","147","158","30","26","59","85","2","1","3","546","7"
"2001","1","2","9","8","140","171","34","26","69","85","1","4","3","553","7"
"2002","2","1","10","9","117","178","36","27","70","126","0","4","2","582","29"
"2003","5","1","8","8","101","178","44","41","63","94","1","4","3","551","-31"
"2004","2","0","14","7","111","188","50","39","86","113","7","4","4","625","74"
"2005","11","0","21","10","100","219","49","42","108","101","1","0","2","664","39"
"2006","7","1","16","7","93","195","40","42","95","110","0","0","2","608","-56"
"2007","3","0","13","8","91","202","62","30","89","88","2","2","7","597","-11"
"2008","5","2","12","3","92","176","54","31","111","118","3","3","4","614","17"
"2009","1","0","15","12","87","179","57","36","96","117","2","2","6","610","-4"
"2010","4","0","22","9","86","189","45","33","77","83","1","1","6","556","-54"
"2011","4","1","22","8","105","163","53","38","114","88","0","3","7","606","50"
"2012","2","0","17","6","108","163","54","29","87","72","0","5","5","548","-58"
"2013","7","1","13","7","70","168","51","31","81","74","0","2","4","509","-39"
"2014","2","3","6","10","71","156","45","24","106","89","3","3","4","522","13"
"2015","3","1","12","11","79","174","47","44","133","97","1","5","2","609","87"
"2016","7","0","13","11","67","206","42","54","116","87","4","3","1","611","2"
