"","gross job creation","gross job creation","gross job destruction","gross job destruction"
"","share of total job creation","average job creation per firm-year","share of total job destruction","average job destruction per firm-year"
"","percent","alus","percent","alus"
"entire distribution","","","",""
"canadian-born-owned","100.0","2.0","100.0","1.8"
"immigrant-owned","100.0","1.4","100.0","1.1"
"all firms","100.0","1.9","100.0","1.7"
"top 20% of job creators / job destroyers","","","",""
"canadian-born-owned","77.2","7.6","79.0","6.9"
"immigrant-owned","72.6","4.9","74.9","4.3"
"all firms","76.7","7.1","78.6","6.5"
"top 10% of job creators / job destroyers","","","",""
"canadian-born-owned","63.0","12.4","65.5","11.5"
"immigrant-owned","57.3","7.8","60.1","6.9"
"all firms","62.4","11.6","65.1","10.8"
"top 5% of job creators / job destroyers","","","",""
"canadian-born-owned","50.0","19.7","52.8","18.6"
"immigrant-owned","43.8","11.9","47.0","10.8"
"all firms","49.4","18.3","52.4","17.4"
