"","","nursing home","nursing home","nursing home","seniors' residence","seniors' residence","seniors' residence","private dwelling with additional family","private dwelling with additional family","private dwelling with additional family"
"","","odds ratio","95% confidence interval","95% confidence interval","odds ratio","95% confidence interval","95% confidence interval","odds ratio","95% confidence interval","95% confidence interval"
"","","odds ratio","from","to","odds ratio","from","to","odds ratio","from","to"
"age group at census day","60 to 69","0.2","0.1","0.4","0.2","0.1","0.5","1.3","1.0","1.6"
"age group at census day","70 to 74","0.3","0.1","0.5","1.0","0.5","2.0","0.9","0.7","1.2"
"age group at census day","75 to 79","1.0","","","1.0","","","1.0","",""
"age group at census day","80 to 84","1.2","0.8","1.9","3.5","1.9","6.5","0.8","0.6","1.1"
"age group at census day","85 to 89","3.0","2.0","4.7","9.8","5.2","18.6","0.6","0.4","0.9"
"age group at census day","90 and older","6.3","4.0","9.9","19.4","10.0","37.8","0.9","0.6","1.4"
"marital status, cchs & census","remained married","1.0","","","1.0","","","1.0","",""
"marital status, cchs & census","loss of spouse","3.7","2.4","5.7","3.5","2.0","6.0","0.6","0.4","0.9"
"marital status, cchs & census","not married at cchs","2.4","1.2","4.8","2.7","1.3","5.8","0.3","0.2","0.6"
"living alone","living with others","1.0","","","1.0","","","1.0","",""
"living alone","living alone","1.8","1.0","3.2","1.0","0.5","2.0","16.4","9.4","28.5"
"dwelling owned by a household member","yes","1.0","","","1.0","","","1.0","",""
"dwelling owned by a household member","no","2.3","1.6","3.3","2.9","2.0","4.4","0.8","0.7","1.0"
"self-perceived general health","excellent","1.0","","","1.0","","","1.0","",""
"self-perceived general health","very good","0.8","0.5","1.5","0.6","0.3","1.4","1.0","0.8","1.2"
"self-perceived general health","good","1.3","0.7","2.4","0.8","0.4","1.6","0.9","0.7","1.1"
"self-perceived general health","fair","1.4","0.7","2.6","1.3","0.6","2.7","1.0","0.8","1.3"
"self-perceived general health","poor","2.3","1.1","4.9","1.1","0.4","3.0","1.1","0.6","1.8"
"self-perceived mental health","excellent","1.0","","","1.0","","","1.0","",""
"self-perceived mental health","very good","1.6","1.1","2.3","1.5","0.9","2.5","1.1","0.9","1.3"
"self-perceived mental health","good","1.6","1.0","2.4","1.1","0.7","1.8","1.0","0.8","1.2"
"self-perceived mental health","fair","2.7","1.6","4.6","1.5","0.7","3.3","1.0","0.7","1.5"
"self-perceived mental health","poor","6.0","2.2","16.3","1.3","0.0","55.5","0.8","0.3","2.0"
"self-perceived mental health","missing","5.0","2.0","12.2","1.2","0.5","3.2","1.2","0.7","1.9"
"province","atlantic provinces","0.9","0.5","1.5","0.6","0.3","1.2","0.9","0.8","1.1"
"province","quebec","0.8","0.5","1.2","3.1","1.9","4.9","0.9","0.7","1.0"
"province","ontario","1.0","","","1.0","","","1.0","",""
"province","manitoba","0.6","0.3","1.2","0.6","0.2","1.5","0.8","0.6","1.0"
"province","saskatchewan","1.1","0.7","1.8","0.5","0.2","1.3","1.1","0.8","1.5"
"province","alberta","0.9","0.5","1.4","2.6","1.4","4.6","1.1","0.8","1.4"
"province","british columbia","0.7","0.4","1.1","1.0","0.5","1.9","1.4","1.1","1.7"
"immigrant status","canadian-born","1.0","","","1.0","","","1.0","",""
"immigrant status","immigrant","0.7","0.4","1.1","0.3","0.2","0.5","1.2","1.0","1.4"
"chronic conditions","diabetes","1.1","0.8","1.7","1.8","1.2","2.8","1.2","0.9","1.5"
"chronic conditions","heart disease","0.9","0.6","1.2","0.7","0.4","1.0","0.9","0.8","1.1"
"chronic conditions","dementia","6.2","2.7","14.0","1.9","0.6","5.8","0.6","0.2","1.8"
"overnight patient in a hospital, nursing home or convalescent home in past year","no","1.0","","","1.0","","","1.0","",""
"overnight patient in a hospital, nursing home or convalescent home in past year","yes","1.9","1.2","2.9","1.8","1.1","2.7","1.2","1.0","1.5"
"smoking status","never smoker","1.0","","","1.0","","","1.0","",""
"smoking status","former smoker","0.7","0.5","0.9","1.3","0.8","2.3","1.0","0.8","1.2"
"smoking status","current smoker","0.6","0.3","1.2","1.4","0.7","2.6","1.0","0.8","1.3"
"year of interview","2005/2006","1.6","1.2","2.3","1.5","1.0","2.5","1.2","1.0","1.4"
"year of interview","2007","1.0","","","1.0","","","1.0","",""
"year of interview","2008","0.8","0.5","1.3","1.1","0.6","1.9","1.1","0.9","1.4"
"year of interview","2009","0.7","0.4","1.1","0.9","0.5","1.6","1.1","0.9","1.4"
