"club","season","league","league","league","cup","cup","europe","europe","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"cesena","1981-82","serie a","-","-","?","?","?","?","?","?","?","?"
"forli","1982-83","serie c1","11","0","?","?","?","?","?","?","?","?"
"cesena","1983-84","serie b","-","-","?","?","?","?","?","?","?","?"
"empoli","1984-85","serie b","-","-","?","?","?","?","?","?","?","?"
"rondinella","1985-86","?","28","0","?","?","?","?","?","?","?","?"
"cesena","1986-87","serie b","33","0","?","?","?","?","?","?","?","?"
"cesena","1987-88","serie a","27","0","?","?","?","?","?","?","?","?"
"cesena","1988-89","serie a","33","0","?","?","?","?","?","?","?","?"
"cesena","1989-90","serie a","34","0","?","?","?","?","?","?","?","?"
"milan","1990-91","serie a","9","0","8","0","1","0","-","-","18","0"
"milan","1991-92","serie a","30","0","2","0","-","-","-","-","32","0"
"milan","1992-93","serie a","27","0","6","0","6","0","-","-","39","0"
"milan","1993-94","serie a","31","0","-","-","13","0","2","0","46","0"
"milan","1994-95","serie a","34","0","-","-","13","0","2","0","49","0"
"milan","1995-96","serie a","34","0","-","-","-","-","-","-","34","0"
"milan","1996-97","serie a","26","0","3","0","6","0","1","0","36","0"
"milan","1997-98","serie a","17","0","10","0","-","-","-","-","27","0"
"milan","1998-99","serie a","13","0","3","0","-","-","-","-","16","0"
"milan","1999-00","serie a","5","0","4","0","-","-","1","0","10","0"
"milan","2000-01","serie a","14","0","2","0","1","0","-","-","17","0"
"milan","2001-02","serie a","-","-","5","0","1","0","-","-","6","0"
"milan","total","total","240","0","43","0","41","0","6","0","330","0"
"perugia","2002-03","serie a","12","0","?","?","?","?","?","?","?","?"
"career total","career total","career total","418","0","?","?","?","?","?","?","?","?"
