"","between 1981 and 1988 landing cohorts","between 1981 and 1988 landing cohorts","between 1988 and 1999 landing cohorts","between 1988 and 1999 landing cohorts"
"","all new immigrants","principal applicants in the economic class","all new immigrants","principal applicants in the economic class"
"","2011 constant dollars","2011 constant dollars","2011 constant dollars","2011 constant dollars"
"men","","","",""
"total change","-3,600","-4,700","-200","-1,700"
"changes caused by changes in characteristics","-3,700","-4,800","3,500","3,500"
"","proportion","proportion","proportion","proportion"
"contributing factors","","","",""
"age at landing","-0.14","-0.40","0.03","0.03"
"immigration class","0.41","0.17","0.33","0.09"
"educational attainment at landing","-0.01","-0.14","0.69","1.21"
"source region","0.88","1.24","-0.21","-0.44"
"language","0.37","0.43","-0.10","-0.26"
"geographic distribution","-0.16","-0.13","-0.02","0.02"
"regional unemployment rate","-0.36","-0.17","0.06","0.10"
"pre-landing canadian work experience","..","..","0.22","0.24"
"","2011 constant dollars","2011 constant dollars","2011 constant dollars","2011 constant dollars"
"women","","","",""
"total change","2,600","4,800","-1,500","-1,000"
"changes caused by changes in characteristics","500","2,400","1,200","2,700"
"","proportion","proportion","proportion","proportion"
"contributing factors","","","",""
"age at landing","0.32","0.24","0.02","0.00"
"immigration class","0.57","-0.01","-0.09","-0.07"
"educational attainment at landing","0.79","0.48","1.13","1.10"
"source region","-0.64","0.08","-0.24","-0.07"
"language","-1.01","0.10","-0.13","-0.12"
"geographic distribution","1.77","0.79","-0.10","-0.19"
"regional unemployment rate","-0.81","-0.68","0.05","0.00"
"pre-landing canadian work experience","..","..","0.35","0.35"
