"club","season","league","league","league","national cup","national cup","league cup","league cup","europe","europe","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"sporting","2001-02","primeira liga","28","3","6","2","-","-","2","0","-","-","36","5"
"sporting","2002-03","primeira liga","31","5","2","0","-","-","4","0","1","0","38","5"
"sporting","total","total","59","8","8","2","-","-","6","0","1","0","74","10"
"barcelona","2003-04","la liga","22","1","2","0","-","-","4","0","-","-","28","1"
"porto","2004-05","primeira liga","32","5","1","0","-","-","8","0","3","2","44","7"
"porto","2005-06","primeira liga","29","5","4","0","-","-","6","0","-","-","39","5"
"porto","2006-07","primeira liga","26","6","1","0","-","-","8","2","1","0","36","8"
"porto","2007-08","primeira liga","27","8","3","1","-","-","8","2","1","0","39","11"
"porto","total","total","114","24","9","1","-","-","30","4","5","2","158","31"
"inter milan","2008-09","serie a","13","1","0","0","-","-","6","0","-","-","19","1"
"inter milan","2009-10","serie a","11","0","0","0","-","-","2","0","-","-","13","0"
"inter milan","total","total","24","1","0","0","-","-","8","0","-","-","32","1"
"chelsea","2008-09","premier league","4","0","1","0","-","-","5","0","none","none","none","none"
"besiktas","2010-11","super lig","21","3","8","3","-","-","10","5","-","-","39","11"
"besiktas","2011-12","super lig","25","5","1","0","-","-","8","2","-","-","34","7"
"besiktas","total","total","46","8","9","3","-","-","18","7","-","-","73","18"
"al ahli","2012-13","uae pro-league","10","2","1","1","-","-","11","3","none","none","none","none"
"porto","2013-14","primeira liga","12","4","3","1","3","1","6","3","-","-","24","9"
"porto","2014-15","primeira liga","30","6","0","0","3","1","10","3","-","-","43","10"
"porto","total","total","42","10","3","1","6","2","16","6","-","-","67","19"
"besiktas","2015-16","super lig","26","4","5","0","-","-","6","1","-","-","37","5"
"besiktas","2016-17","super lig","29","2","3","1","-","-","11","3","1","0","44","6"
"besiktas","2017-18","super lig","26","4","3","1","-","-","7","0","1","0","37","5"
"besiktas","2018-19","super lig","22","2","0","0","-","-","8","1","-","-","30","3"
"besiktas","total","total","103","12","11","2","-","-","32","5","2","0","148","19"
"career total","career total","career total","424","66","44","10","6","2","114","22","8","2","596","102"
