"no","pos","nat","player","total","total","championship","championship","championship play-offs","championship play-offs","challenge cup","challenge cup","league cup","league cup","scottish cup","scottish cup"
"no","pos","nat","player","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"1","gk","scotland","kevin cuthbert","23","0","17+0","0","0+0","0","0+0","0","4+0","0","2+0","0"
"2","df","scotland","jason thomson","30","0","23+0","0","2+0","0","0+0","0","4+0","0","0+1","0"
"3","df","scotland","kevin mchattie","34","2","27+0","2","0+0","0","1+0","0","4+0","0","2+0","0"
"4","mf","scotland","ross callachan","38","3","31+0","3","0+0","0","1+0","0","4+0","0","2+0","0"
"5","df","france","jean-yves mvoto","41","4","34+0","3","2+0","1","1+0","0","2+0","0","2+0","0"
"6","df","scotland","kyle benedictus","39","1","30+0","0","2+0","0","1+0","0","4+0","1","2+0","0"
"7","mf","scotland","chris johnston","34","2","20+7","1","0+1","0","0+0","0","3+1","1","1+1","0"
"8","mf","scotland","scott robertson","2","0","0+1","0","0+1","0","0+0","0","0+0","0","0+0","0"
"9","fw","scotland","mark stewart","36","6","12+17","5","0+0","0","1+0","1","1+3","0","2+0","0"
"10","fw","scotland","lewis vaughan","17","2","5+7","0","0+0","0","0+1","0","4+0","2","0+0","0"
"11","mf","scotland","bobby barr","36","2","23+5","1","0+1","0","1+0","0","4+0","0","2+0","1"
"12","mf","scotland","ross matthews","32","2","23+1","2","2+0","0","1+0","0","3+0","0","2+0","0"
"14","mf","scotland","iain davidson","35","1","25+1","1","2+0","0","1+0","0","4+0","0","2+0","0"
"15","fw","ghana","yaw osei","3","0","0+1","0","0+0","0","0+0","0","1+1","0","0+0","0"
"16","mf","republic of ireland","joel coustrain","9","1","1+5","1","0+0","0","0+1","0","0+2","0","0+0","0"
"17","gk","australia","aaron lennox","2","0","2+0","0","0+0","0","0+0","0","0+0","0","0+0","0"
"18","mf","scotland","scott roberts","19","1","5+12","1","0+0","0","0+0","0","0+2","0","0+0","0"
"19","mf","czech republic","rudi skacel","29","0","10+14","0","1+0","0","1+0","0","0+1","0","0+2","0"
"20","fw","scotland","declan mcmanus","41","9","28+6","5","2+0","2","1+0","1","2+0","0","1+1","1"
"21","mf","northern ireland","jordan thompson","32","1","26+3","1","0+1","0","0+0","0","0+0","0","2+0","0"
"22","df","scotland","david bates","0","0","0+0","0","0+0","0","0+0","0","0+0","0","0+0","0"
"22","mf","scotland","danny handling","7","0","4+1","0","2+0","0","0+0","0","0+0","0","0+0","0"
"23","gk","northern ireland","conor brennan","11","0","6+2","0","2+0","0","1+0","0","0+0","0","0+0","0"
"24","mf","scotland","robbie crawford","0","0","0+0","0","0+0","0","0+0","0","0+0","0","0+0","0"
"24","df","scotland","david syme","0","0","0+0","0","0+0","0","0+0","0","0+0","0","0+0","0"
"25","df","scotland","liam smith","2","0","2+0","0","0+0","0","0+0","0","0+0","0","0+0","0"
"26","fw","scotland","jonny court","6","1","1+3","1","2+0","0","0+0","0","0+0","0","0+0","0"
"27","mf","scotland","james berry","0","0","0+0","0","0+0","0","0+0","0","0+0","0","0+0","0"
"28","mf","scotland","ryan stevenson","0","0","0+0","0","0+0","0","0+0","0","0+0","0","0+0","0"
"29","df","scotland","david mckay","0","0","0+0","0","0+0","0","0+0","0","0+0","0","0+0","0"
"30","mf","denmark","andreas thorsen","0","0","0+0","0","0+0","0","0+0","0","0+0","0","0+0","0"
"35","mf","scotland","kyle bell","0","0","0+0","0","0+0","0","0+0","0","0+0","0","0+0","0"
"36","gk","slovakia","pavol penksa","10","0","10+0","0","0+0","0","0+0","0","0+0","0","none","none"
"52","fw","scotland","ryan hardie","22","8","11+7","6","1+1","1","0+0","0","0+0","0","0+2","1"
"55","df","scotland","craig barr","18","2","15+1","2","2+0","0","0+0","0","0+0","0","0+0","0"
"66","mf","scotland","ryan stevenson","9","1","6+3","1","0+0","0","0+0","0","0+0","0","0+0","0"
"-","mf","scotland","craig easton","0","0","0+0","0","0+0","0","0+0","0","0+0","0","0+0","0"
