"","main sample","main sample","canadian-born sample","canadian-born sample"
"","percentage points","percent of overall gap","percentage points","percent of overall gap"
"gelbach decomposition","","","",""
"overall gap","0.451","..","0.467",".."
"explained gap","0.331","73.4","0.337","74.7"
"share of income gap in resp participation accounted for by","","","",""
"demographics","0.013","2.9","0.027","6.0"
"net worth","0.242","53.7","0.240","53.2"
"education","0.051","11.3","0.048","10.6"
"literacy","0.025","5.5","0.022","4.9"
"oaxaca-blinder decomposition","","","",""
"overall gap","0.451","..","0.467",".."
"explained gap","0.290","64.3","0.306","67.8"
"share of income gap in resp participation accounted for by","","","",""
"demographics","0.016","3.5","0.049","10.9"
"net worth","0.227","50.3","0.226","50.1"
"education","0.015","3.3","-0.004","-0.9"
"literacy","0.031","6.9","0.035","7.8"
