"caracteristics","volunteer rate","volunteer rate","volunteer rate","volunteer rate","average number of hours","average number of hours","average number of hours","average number of hours"
"caracteristics","2013","2010","2007","2004","2013","2010","2007","2004"
"caracteristics","percent","percent","percent","percent","mean number of hours","mean number of hours","mean number of hours","mean number of hours"
"total","44","47","46","45","154","156","166","168"
"sex","","","","","","","",""
"men","42","46","45","44","164","153","168","168"
"women","45","48","47","47","145","158","164","168"
"age group","","","","","","","",""
"15 to 19","66","66","65","65","110","115","116","127"
"20 to 24","42","48","47","43","147","159","182","161"
"25 to 34","42","46","40","42","126","109","133","137"
"35 to 44","48","54","52","51","122","136","158","152"
"45 to 54","45","45","48","47","150","168","169","176"
"55 to 64","41","41","40","42","203","201","206","202"
"65 to 74","38","40","40","39","231","236","216","250"
"75 years and older","27","31","29","23","196","198","222","234"
"marital status","","","","","","","",""
"married or common-law","44","47","47","46","156","160","168","172"
"single, never married","47","51","48","48","139","134","153","148"
"separated or divorced","37","42","39","43","167","183","197","199"
"widowed","27","32","31","28","228","204","179","201"
"level of education","","","","","","","",""
"less than high school","39","37","39","37","159","148","136","140"
"high school diploma","37","47","44","45","142","171","152","163"
"post-secondary diploma or certificate","42","45","47","46","142","140","168","172"
"university degree","55","58","57","59","170","160","187","180"
"labour force participation","","","","","","","",""
"employed","46","50","50","50","133","139","150","152"
"unemployed","45","34","38","42","182","132","205","236"
"not in the labour force","38","44","44","43","191","189","190","199"
"presence of children in the household","","","","","","","",""
"no child","38","41","39","40","169","175","184","191"
"pre-school aged children only","37","45","41","43","122","87","110","126"
"both pre-school and school-aged children","52","56","54","53","121","122","147","141"
"school-aged children only","59","59","62","59","139","146","153","142"
"religious attendance","","","","","","","",""
"weekly","59","65","66","62","215","202","232","230"
"other","40","44","43","43","133","141","142","147"
"birthplace","","","","","","","",""
"canada","45","49","47","46","150","155","165","167"
"outside canada","38","40","40","40","162","158","168","172"
