"team","-","-","total","total"
"team","score","rank","score","rank"
"none","none","none","none","none"
"china","45.133","5","43.833","4"
"chen yibing","none","none","14.733","11"
"feng zhe","14.400","21","none","none"
"guo weiyang","none","none","14.600","14"
"zhang chenglong","14.900","14","14.500","16"
"zou kai","15.833","1","none","none"
"none","none","none","none","none"
"japan","44.733","6","42.365","5"
"ryohei kato","15.300","8","14.766","9"
"kazuhito tanaka","13.733","24","13.433","19"
"yusuke tanaka","none","none","none","none"
"kohei uchimura","15.700","2","14.166","18"
"koji yamamuro","none","none","none","none"
"none","none","none","none","none"
"great britain","46.132","1","45.932","1"
"sam oldham","none","none","none","none"
"daniel purvis","15.533","3","14.733","11"
"louis smith","none","none","15.966","1"
"kristian thomas","15.433","6","none","none"
"max whitlock","15.166","11","15.233","3"
"none","none","none","none","none"
"ukraine","44.065","8","44.966","3"
"mykola kuksenkov","none","none","15.100","4"
"vitaliy nakonechnyy","14.333","22","14.866","7"
"ihor radivilov","none","none","none","none"
"oleh stepko","14.866","16","15.000","6"
"oleh vernyayev","14.866","16","none","none"
"none","none","none","none","none"
"united states","45.266","3","40.633","7"
"jacob dalton","15.466","5","none","none"
"jonathan horton","none","none","none","none"
"danell leyva","15.200","9","13.400","20"
"samuel mikulak","14.600","19","14.500","16"
"john orozco","none","none","12.733","23"
"none","none","none","none","none"
"russia","45.308","2","42.299","6"
"denis ablyazin","15.475","4","none","none"
"aleksandr balandin","none","none","none","none"
"david belyavskiy","14.933","13","12.933","22"
"emin garibov","none","none","14.833","8"
"igor pakhomenko","14.900","14","14.533","15"
"none","none","none","none","none"
"germany","45.199","4","40.466","8"
"philipp boy","14.800","18","13.200","21"
"fabian hambuchen","15.066","12","none","none"
"sebastian krimmer","none","none","14.733","11"
"marcel nguyen","15.333","7","none","none"
"andreas toba","none","none","12.533","24"
"none","none","none","none","none"
"france","44.066","7","45.265","2"
"pierre yves beny","14.333","22","15.033","5"
"yann cucherat","none","none","none","none"
"gael da silva","15.200","9","none","none"
"hamilton sabot","none","none","14.766","9"
"cyril tommasone","14.533","20","15.466","2"
