"","canadian community health survey cycle","canadian community health survey cycle","canadian community health survey cycle","canadian community health survey cycle","canadian community health survey cycle","canadian community health survey cycle","canadian community health survey cycle","canadian community health survey cycle","canadian community health survey cycle"
"","1.1 cchs","1.1 cchs","1.1 cchs","2007 and 2008 cchs","2007 and 2008 cchs","2007 and 2008 cchs","2015 and 2016 cchs","2015 and 2016 cchs","2015 and 2016 cchs"
"","employed","unemployed","not participating in labour force","employed","unemployed","not participating in labour force","employed","unemployed","not participating in labour force"
"","percent","percent","percent","percent","percent","percent","percent","percent","percent"
"sex","","","","","","","","",""
"female","45","48","70","47","40","66","47","37","68"
"male","55","52","30","53","60","34","53","63","32"
"age","","","","","","","","",""
"younger than 20","2","6","1","2","5","1","1","6","1"
"20 to 29","19","30","11","20","28","10","18","29","10"
"30 to 39","27","24","17","24","23","12","23","22","16"
"40 to 49","30","24","19","28","20","16","25","16","15"
"50 to 59","18","14","29","22","20","32","24","21","28"
"60 and older","3","2","23","5","4","29","8","6","29"
"provincial region","","","","","","","","",""
"maritimes","7","10","10","13","14","15","12","21","16"
"quebec","24","30","27","57","68","64","n/a","n/a","n/a"
"ontario","39","33","35","n/a","n/a","n/a","75","69","72"
"prairies","17","12","14","29","18","21","13","9","11"
"british columbia","13","14","13","n/a","n/a","n/a","n/a","n/a","n/a"
"territories","<1","1","<1","<1","1","<1","<1","<1","<1"
"immigrant status","","","","","","","","",""
"non-immigrant","80","76","76","86","81","88","72","70","75"
"immigrant","20","24","24","14","19","12","28","30","25"
"self-reported race or ethnicity","","","","","","","","",""
"white","86","78","84","88","81","89","72","64","73"
"other ethnicities","13","19","14","10","15","8","24","29","20"
"indigenous living off reserve","1","3","2","2","4","3","4","7","7"
"highest level of education","","","","","","","","",""
"less than high school","14","23","35","10","20","28","6","12","17"
"high school diploma","29","31","28","21","24","25","21","28","28"
"college diploma or equivalent","36","29","25","44","37","33","39","35","34"
"bachelor's degree","21","17","12","24","19","14","33","25","21"
"experienced a mde in the past year","","","","","","","","",""
"yes","7","14","12","6","13","9","5","12","15"
"self-reported anxiety disorder","","","","","","","","",""
"yes","n/a","n/a","n/a","4","7","11","7","13","17"
"self-reported anxiety disorder and mde in the past year","","","","","","","","",""
"yes","n/a","n/a","n/a","1","2","4","2","4","7"
