"club","season","league","league","league","league","cup","cup","cup","europe","europe","europe","total","total","total"
"club","season","division","apps","goals","assists","apps","goals","assists","apps","goals","assists","apps","goals","assists"
"libourne","2004-05","championnat national","24","1","3","2","0","0","-","-","-","26","1","3"
"libourne","2005-06","championnat national","31","9","4","3","4","1","-","-","-","34","13","5"
"libourne","total","total","55","10","7","5","4","1","-","-","-","60","14","8"
"marseille","2006-07","ligue 1","15","1","1","2","0","1","1","0","0","18","1","2"
"marseille","2007-08","ligue 1","29","3","2","3","1","0","10","1","0","42","5","2"
"marseille","2008-09","ligue 1","31","3","2","3","0","0","11","0","1","45","3","3"
"marseille","2009-10","ligue 1","31","5","1","6","2","1","6","0","0","43","7","2"
"marseille","2010-11","ligue 1","32","4","4","3","0","0","8","1","1","43","5","5"
"marseille","2011-12","ligue 1","33","5","13","7","3","2","9","1","1","49","9","16"
"marseille","2012-13","ligue 1","37","3","12","4","1","0","8","1","2","49","5","14"
"marseille","2013-14","ligue 1","34","3","6","2","0","0","5","0","0","41","3","6"
"marseille","total","total","242","27","41","30","7","4","58","4","5","330","38","50"
"dynamo moscow","2014-15","russian premier league","25","4","12","0","0","0","11","0","3","36","4","15"
"dynamo moscow","2015-16","russian premier league","4","2","2","0","0","0","0","0","0","4","2","2"
"dynamo moscow","total","total","29","6","14","0","0","0","11","0","3","40","6","17"
"lyon","2015-16","ligue 1","26","1","5","2","1","0","5","0","1","33","2","6"
"lyon","2016-17","ligue 1","30","8","5","4","1","1","9","1","2","43","10","8"
"lyon","total","total","56","9","10","6","2","1","14","1","3","76","12","14"
"fenerbahce","2017-18","super lig","29","7","9","7","1","5","4","0","2","40","10","16"
"career total","career total","career total","411","61","80","48","14","11","87","5","13","546","80","104"
