"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"peterborough united","1989-90","fourth division","18","0","0","0","0","0","18","5"
"port vale","1988-89","third division","2","0","0","0","0","0","2","0"
"port vale","1989-90","second division","5","0","0","0","0","0","5","0"
"port vale","1990-91","second division","15","0","2","0","2","0","19","0"
"port vale","total","total","22","0","2","0","2","0","28","0"
"preston north end","1990-91","third division","14","3","0","0","3","4","17","7"
"preston north end","1991-92","third division","24","5","0","0","2","0","26","5"
"preston north end","total","total","38","8","0","0","5","4","43","12"
"exeter city","1992-93","second division","38","8","1","0","6","1","45","9"
"exeter city","1993-94","second division","16","13","2","1","4","2","22","16"
"exeter city","total","total","54","21","3","1","10","3","67","25"
"huddersfield town","1993-94","second division","23","5","0","0","0","0","23","5"
"huddersfield town","1994-95","second division","41","19","2","1","10","3","53","23"
"huddersfield town","1995-96","first division","43","12","2","2","3","0","48","14"
"huddersfield town","total","total","107","36","4","3","13","3","124","42"
"bury","1996-97","second division","31","9","1","0","5","2","37","11"
"bury","1997-98","first division","16","0","2","0","4","1","22","1"
"bury","total","total","47","9","3","0","9","3","59","12"
"oldham athletic","1997-98","second division","9","4","0","0","0","0","9","4"
"burnley","1998-99","second division","15","1","0","0","2","0","17","1"
"burnley","1999-2000","second division","31","2","3","0","2","0","36","2"
"burnley","2000-01","first division","13","0","0","0","2","0","15","0"
"burnley","total","total","59","3","3","0","6","0","68","3"
"career total","career total","career total","354","86","15","4","45","13","414","103"
