"club","season","league","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"stoke city","1925-26","second division","4","0","0","0","-","-","4","0"
"stoke city","1926-27","third division north","15","8","0","0","-","-","15","8"
"stoke city","1927-28","second division","21","8","4","1","-","-","25","9"
"stoke city","1928-29","second division","37","11","1","1","-","-","38","12"
"stoke city","1929-30","second division","31","6","1","0","-","-","32","6"
"stoke city","1930-31","second division","39","5","3","0","-","-","42","5"
"stoke city","1931-32","second division","37","8","3","2","-","-","40","10"
"stoke city","1932-33","second division","1","0","0","0","-","-","1","0"
"stoke city","total","total","185","46","12","4","-","-","197","50"
"blackpool","1933-34","second division","25","8","2","1","-","-","27","9"
"swansea town","1934-35","second division","37","7","2","1","-","-","39","8"
"swansea town","1935-36","second division","32","11","0","0","-","-","32","11"
"swansea town","1936-37","second division","3","0","0","0","-","-","3","0"
"swansea town","total","total","72","18","2","1","-","-","74","19"
"exeter city","1936-37","third division south","20","5","3","1","-","-","23","6"
"exeter city","1937-38","third division south","36","6","2","0","1","0","39","6"
"exeter city","1938-39","third division south","19","5","0","0","1","0","20","5"
"exeter city","total","total","75","16","5","1","2","0","82","17"
"career total","career total","career total","357","88","21","7","2","0","380","95"
