"perceptions of police and confidence in police","persons with mental health disability","persons with no mental health disability","total"
"perceptions of police and confidence in police","percent","percent","percent"
"police do a good job of..","","",""
"enforcing the laws","53","63","62"
"promptly responding to calls","51","57","56"
"being approachable and easy to talk to","56","67","66"
"supply information on crime prevention","47","56","55"
"ensure the safety of citizens","57","67","67"
"treat people fairly","52","63","62"
"confidence in police","","",""
"some confidence or a great deal of confidence","86","92","91"
"not very much confidence or no confidence","14","7","8"
