"census metropolitan areas","mean census tract income","95th to 5th percentile","95th to 50th percentile","50th to 5th percentile"
"census metropolitan areas","dollars","ratio","ratio","ratio"
"halifax","43,900","2.0","1.4","1.4"
"quebec","42,400","2.0","1.4","1.4"
"montreal","41,400","2.4","1.6","1.5"
"ottawa-gatineau","50,000","2.5","1.4","1.6"
"toronto","47,900","2.9","1.9","1.5"
"winnipeg","42,700","2.7","1.6","1.7"
"calgary","56,900","2.5","1.6","1.6"
"edmonton","52,000","2.2","1.5","1.4"
"vancouver","46,200","2.2","1.5","1.4"
