"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"hinckley united","2009-10","conference north","2","1","0","0","-","-","0","0","2","1"
"hinckley united","2010-11","conference north","28","3","0","0","-","-","0","0","28","3"
"hinckley united","2011-12","conference north","41","13","4","0","-","-","3","0","48","13"
"hinckley united","total","total","71","17","4","0","0","0","3","0","78","17"
"nuneaton town","2012-13","conference north","9","0","0","0","-","-","1","0","10","0"
"hinckley united","2012-13","conference north","11","2","0","0","-","-","0","0","11","2"
"barwell","2012-13","sfl premier division","7","3","0","0","-","-","0","0","7","3"
"barwell","2013-14","npl premier division","12","11","1","0","-","-","0","0","13","11"
"brackley town","2013-14","conference north","8","0","0","0","-","-","0","0","8","0"
"leamington","2013-14","conference north","18","10","0","0","-","-","0","0","18","10"
"leamington","2014-15","conference north","36","16","3","2","-","-","3","2","42","20"
"leamington","total","total","54","26","3","2","0","0","3","2","60","30"
"tamworth","2015-16","national league north","36","10","1","1","-","-","0","0","37","11"
"tamworth","2016-17","national league north","39","28","1","0","-","-","2","0","42","28"
"tamworth","total","total","75","38","2","1","0","0","2","0","79","39"
"stevenage","2017-18","league two","45","14","4","2","1","0","1","0","51","16"
"stevenage","2018-19","league two","25","6","1","0","0","0","3","0","29","6"
"stevenage","total","total","70","20","5","2","1","0","4","0","80","22"
"career total","career total","career total","317","117","15","5","1","0","13","2","346","124"
