"","high school diploma","upgrading or high school equivalency program","did not complete high school"
"","percent","percent","percent"
"indigenous identity","","",""
"first nations living off reserve","60.1","10.7","29.2"
"metis","67.5","10.1","22.4"
"inuit","37.8","9.7","52.5"
"residential school family history","","",""
"no","70.5","7.7","21.8"
"yes","56.7","12.5","30.7"
"not stated","60.0","11.0","29.0"
"disability status","","",""
"no","67.1","9.0","23.9"
"yes","53.1","13.3","33.6"
"parenthood status","","",""
"teenage parent","35.9","19.2","44.9"
"other parent / childess","68.3","8.5","23.1"
