"occupations","percent female","average one-year retention rate","average one-year retention rate"
"occupations","percent female","all in-progress jobs","new job starts"
"occupations","percent","percent","percent"
"management","35.6","89.8","91.8"
"business and finance: professional","57.3","84.0","76.1"
"business and finance: non-professional","73.7","79.0","56.8"
"natural and applied sciences: professional","24.8","83.3","72.7"
"natural and applied sciences: technical","23.8","81.6","62.6"
"health: professional","78.7","87.0","73.6"
"health: technical","83.8","85.8","77.2"
"education services: professional","70.0","92.5","68.3"
"law and social, community and government services: professional","65.7","80.8","82.1"
"paraprofessional in legal and social, community and education; front-line public protection; care providers","76.7","78.2","65.5"
"art, culture, recreation and sport","54.2","70.6","59.7"
"retail sales and service supervisors and specialized sales","50.6","82.0","75.5"
"sales and service representatives","59.2","71.4","64.3"
"sales and service support","58.0","68.5","57.1"
"trades, transport and equipment operators","8.0","76.3","49.8"
"natural resources, agriculture and related production","16.2","73.7","44.7"
"manufacturing and utilities","27.7","78.9","57.7"
"female-dominated occupations","..","82.9","62.0"
"male-dominated occupations","..","76.7","52.0"
"mixed occupations","..","77.9","61.0"
