"","family class","economic class principal applicants","government-assisted refugees","privately sponsored refugees"
"","percentage","percentage","percentage","percentage"
"sex","","","",""
"men","36","74","50","51"
"women","64","26","50","49"
"age at landing","","","",""
"25-34","65","49","50","55"
"35-44","18","40","36","29"
"45-54","18","11","15","15"
"marital status at landing","","","",""
"single","7","28","21","36"
"married or common-law","91","70","70","58"
"widowed, divorced, separated","3","3","9","6"
"presence of children","","","",""
"without children","37","33","31","41"
"with children","63","67","69","59"
"either official language spoken at landing","","","",""
"yes","55","77","31","36"
"no","45","23","69","64"
"world area of last permanent residence","","","",""
"south, central america and the caribbean","10","6","21","6"
"europe and north america","12","19","4","4"
"africa","8","9","33","45"
"middle east and central asia","4","9","8","15"
"east, south, southeast asia and oceania","66","57","33","30"
"highest education qualification at landing","","","",""
"secondary or less","46","4","68","72"
"non-university certification","21","15","15","18"
"university certification","34","81","17","10"
"participation in postsecondary training in canada","","","",""
"yes","21","42","19","20"
"","number","number","number","number"
"total","72,275","135,815","10,080","4,835"
