"club","season","league","league","league","national cup","national cup","league cup","league cup","europe","europe","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"manchester city","2003-04","premier league","0","0","0","0","0","0","1","0","-","-","1","0"
"manchester city","2004-05","premier league","9","1","2","0","1","1","-","-","12","2","none","none"
"manchester city","2005-06","premier league","5","0","0","0","0","0","-","-","5","0","none","none"
"manchester city","total","total","14","1","2","0","1","1","1","0","-","-","18","2"
"rochdale","2003-04","third division","6","0","0","0","0","0","-","-","0","0","6","0"
"coventry city","2005-06","championship","8","1","0","0","0","0","-","-","8","1","none","none"
"cardiff city","2006-07","championship","25","1","2","0","1","0","-","-","28","1","none","none"
"dundee united","2007-08","scottish premier league","36","1","3","0","5","0","0","0","-","-","44","1"
"dundee united","2008-09","scottish premier league","20","0","1","0","3","0","0","0","-","-","24","0"
"dundee united","total","total","56","1","4","0","8","0","0","0","-","-","68","1"
"celtic","2008-09","scottish premier league","5","0","0","0","0","0","0","0","-","-","5","0"
"celtic","2009-10","scottish premier league","1","0","0","0","1","0","2","0","-","-","4","0"
"celtic","total","total","6","0","0","0","1","0","2","0","-","-","9","0"
"middlesbrough","2009-10","championship","11","1","0","0","0","0","-","-","11","1","none","none"
"middlesbrough","2010-11","championship","5","0","0","0","0","0","-","-","5","0","none","none"
"middlesbrough","total","total","16","1","0","0","0","0","-","-","16","1","none","none"
"dundee united","2011-12","scottish premier league","32","1","3","0","2","0","2","0","-","-","39","1"
"dundee united","2012-13","scottish premier league","37","2","4","0","2","0","2","1","-","-","45","3"
"dundee united","total","total","69","3","7","0","4","0","4","1","-","-","84","4"
"aberdeen","2013-14","scottish premier league","33","3","3","0","4","0","-","-","40","3","none","none"
"aberdeen","2014-15","scottish premier league","25","0","0","0","2","0","6","0","-","-","33","0"
"aberdeen","2015-16","scottish premier league","22","0","1","0","1","0","5","0","-","-","29","0"
"aberdeen","2016-17","scottish premier league","0","0","0","0","0","0","2","0","-","-","2","0"
"aberdeen","total","total","80","3","4","0","7","0","13","0","-","-","104","3"
"dundee united","2016-17","scottish championship","32","2","4","0","2","0","-","-","9","0","47","2"
"dundee united","2017-18","scottish championship","9","0","0","0","1","0","-","-","2","1","12","1"
"dundee united","total","total","41","2","4","0","3","0","-","-","11","1","59","3"
"career total","career total","career total","289","11","18","0","24","1","20","1","11","1","354","14"
